Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO.1,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign.1,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,Unnamed: 78
J,"Kamalova, Alina",,,,,"KAMALOVA, Alina/0000-0003-4798-5583",,,,,Speak Kazakh: Language Ideologies in Kazakhstan's Social media in Times of Russian-Ukrainian War,,,,,,,,JOURNAL OF SOCIOLINGUISTICS,,,,29.0,3,,,182,193,,,,10.1111/josl.12699,,,,,MAR 2025,,Article,JUN 2025,2025,"This article examines the construction of language ideologies on social media in the context of the use of Kazakh and Russian languages in Kazakhstan following the Russian invasion of Ukraine. Through the analysis of Instagram and YouTube posts and comments from popular Kazakhstani bloggers and opinion-makers, which were selected for the heated online debates they generated, this study explores how the choice of speaking Russian or 'shala-Kazakh' (a mixed form of Russian and Kazakh) is perceived in relation to the national identity of individuals in Kazakhstan. The analysis of social media content reveals the dominance of ideologies centred around notions of linguistic purity, national authenticity and decolonizing anti-Russianness. Utilizing Agha's theory of enregisterment and drawing on Irvine and Gal's concept of language ideologies, this research investigates the impact of social changes on language ideologies. It also explores how language regulation and mocking practices on social media serve as significant mechanisms for the circulation and maintenance of these ideologies and broader linguistic and social hierarchies.",,,,,,,,,5,0,0,0,0,0,5,4,12,1360-6441,1467-9841,,,,,,,,,,,,,,2025-03-12,WOS:001437898900001,,
J,"Smirnova, Yelena V.",,,,"Smirnova, Yelena/I-4604-2016","Smirnova, Yelena/0000-0001-9838-6914",,,,,University-industry knowledge transfer in an emerging economy: Evidence from Kazakhstan,,,,,,,,SCIENCE AND PUBLIC POLICY,,,,43.0,5,,,702,712,,,,10.1093/scipol/scv074,,,,,,,Article,OCT 2016,2016,"Although developing economies are observed to possess some similar characteristics, interactions between academia and industry are expected to have unique attributes in each country. This paper explores the channels of knowledge transfer, obstacles to collaboration and benefits of university-industry interactions in the context of Kazakhstan. The study builds upon the analysis of data collected from surveys of 24 universities and 28 telecommunications firms. The results suggest some discrepancy between the modes of interactions used and the channels rated the most important. There are also significant differences in agents' perceptions of obstacles. Benefits associated with short-term production activities are priority-driven for firms.",,,,,,,,,8,0,0,0,0,0,11,4,47,0302-3427,1471-5430,,,,,,,,,,,,,,2017-03-01,WOS:000393310700012,,
J,"Kalizhanova, Aigerim; Yerdessov, Sauran; Sakko, Yesbolat; Tursynbayeva, Aigul; Kadyrov, Shirali; Gaipov, Abduzhappar; Kashkynbayev, Ardak",,,,"Sakko, Yesbolat/ABF-9071-2021; Kashkynbayev, Ardak/N-9055-2017; Gaipov, Abduzhappar/G-3059-2012; Kalizhanova, Aigerim/KFR-9690-2024; Yerdessov, Sauran/GRO-6153-2022; Kadyrov, Shirali/C-9688-2018","Sakko, Yesbolat/0000-0002-1694-2399; Kalizhanova, Aigerim/0009-0006-5413-1438;",,,,,Modeling tuberculosis transmission dynamics in Kazakhstan using SARIMA and SIR models,,,,,,,,SCIENTIFIC REPORTS,,,,14.0,1,,,,,24824,,,10.1038/s41598-024-76721-2,,,,,,,Article,OCT 22 2024,2024,"Tuberculosis (TB) is a highly contagious disease that remains a global concern affecting numerous countries. Kazakhstan has been facing considerable challenges in TB prevention and treatment for decades. This study aims to understand TB transmission dynamics by developing and comparing statistical and deterministic models: Seasonal Autoregressive Integrated Moving Average (SARIMA) and the basic Susceptible-Infected-Recovered (SIR). TB data from 2014 to 2019 were collected from the Unified National Electronic Health System (UNEHS) using retrospective quantitative analysis. SARIMA models were able to capture seasonal variations, with Model 2 exhibiting superior predictive accuracy. Both models showed declining TB incidence and revealed a notable predictive performance evaluated by statistical metrics. In addition, the SIR model calculated the basic reproduction number (\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${R_0}$$\end{document}) below 1, indicating a receding epidemic. Models proved the capability of each to accurately capture trends (SARIMA) and provide mathematical insights (SIR) into TB transmission dynamics. This study contributes to the general knowledge of TB transmission dynamics in Kazakhstan thus laying the foundation for more comprehensive studies on TB and control strategies.",,,,,,,,,4,0,0,0,1,0,4,3,7,2045-2322,,,,,,,,,,,,,,,2024-11-06,WOS:001340425900091,39438635.0,
J,"Kurmanalina, Sandugash; Samambayeva, Aizhan; Akhtayeva, Nazgul; Kozhageldiyeva, Laura; Kosherbayeva, Lyazzat",,,,"Kozhageldiyeva, Laura/LDF-2741-2024; Kosherbayeva, Lyazzat/AAS-6940-2020; Akhtaeva, Nazgul/AAS-2190-2020; Samambayeva, Aizhan/GWZ-4972-2022","Kozhageldiyeva, Laura/0000-0003-0553-8988; Kosherbayeva, Lyazzat/0000-0001-8376-4345; Akhtaeva, Nazgul/0000-0002-0835-9814; Samambayeva, Aizhan/0000-0001-8600-7980",,,,,Awareness of Autism Spectrum Disorder Among Population of Kazakhstan,,,,,,,,JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,,,,55.0,7,,,2566,2572,,,,10.1007/s10803-024-06350-1,,,,,APR 2024,,Article,JUL 2025,2025,"Background In recent years, an abundance of research has substantiated the escalating prevalence of Autism Spectrum Disorder (ASD) on a global scale. The aim to assess the level of awareness regarding ASD among the Kazakhstan population, as well as their readiness to offer help to individuals affected by ASD. Methods A cross-sectional study was conducted encompassing individuals aged 18 years and above, using both the Russian and Kazakh languages. The survey was administered through Google Forms during April to June 2023. The link to survey was disseminated through WhatsApp chats of different social groups, including primary care specialists (general practitioners and nurses), and educators from primary and secondary schools from all 17 regions of Kazakhstan, spanning urban and rural areas. 410 participants took part in the survey in total. Statistical significance will be defined as p-values < 0.05. Results Individuals aged 25 and above, who are both educated and employed, exhibit a greater awareness of ASD compared to other demographic groups. A low proportion of respondents (18.3%) demonstrated familiarity with the key symptoms of ASD as well as on its causes. Furthermore, it's noteworthy that the primary resource for acquiring information about ASD was the internet for both of these regions. Conclusion Low awareness on ASD symptoms and treatment methods was identified in both areas. There is a need to develop activities to increase the public awareness on ASD, including knowledge on early symptoms of ASD and facilities that address the needs of people on the ASD and their families.",,,,,,,,,2,0,0,0,0,0,2,1,12,0162-3257,1573-3432,,,,,,,,,,,,,,2024-04-30,WOS:001207622400001,38656465.0,
J,"Satayev, Malik; Varis, Sotiria; Ashirbayev, Yerkebulan; Koshanova, Zaure; Balta, Nuri",,,,"BALTA, NURI/AAD-6854-2021; Satayev, Malik/JPK-8008-2023; Varis, Sotiria/IQW-4465-2023","BALTA, NURI/0000-0002-6364-5346; Satayev, Malik/0000-0003-3146-3262; Varis, Sotiria/0000-0002-7796-2772",,,,,Content and language integrated learning in Kazakhstan,,,,,,,,JOURNAL OF IMMERSION AND CONTENT-BASED LANGUAGE EDUCATION,,,,13.0,2,,,193,215,,,,10.1075/jicb.23034.sat,,,,,JUN 2024,,Article,AUG 29 2025,2025,"This study is a scoping review of research conducted on Content and Language Integrated Learning (CLIL) in Kazakhstan. A total of 26 studies were selected, including journal articles and master's theses. The selected studies were thematically analyzed to identify key aspects and shared aspects. Three main thematically organized areas for CLIL research emerged from the reviewed studies: (1) Dominant perceptions and beliefs about CLIL, (2) Positive outcomes and challenges in CLIL, and (3) CLIL pedagogy and methodology. The majority of the reviewed studies primarily focused on students' English language skills, investigated the affective and cognitive experience of CLIL, and addressed challenges, practices, and concerns related to CLIL. These themes capture the current landscape of CLIL research in Kazakhstan and contribute to a more holistic understanding of CLIL's impact on language acquisition and educational practices, thereby informing approaches to language education in Kazakhstan's trilingual education system.",,,,,,,,,2,0,0,0,0,0,2,1,8,2212-8433,2212-8441,,,,,,,,,,,,,,2024-08-28,WOS:001296225400001,,
J,"Sarmurzin, Yerbol; Amanzhol, Nazerke; Toleubayeva, Kamshat; Zhunusova, Marina; Amanova, Aray; Abiyr, Akbota",,,,"Amanova, Aray/P-3749-2014; Amanzhol, Nazerke/JNT-4211-2023; Sarmurzin, Yerbol/ABF-9113-2021; Amanova, Araу/OQL-2601-2025","Amanova, Aray/0000-0003-0909-9089; Toleubaeva, Kahat/0000-0002-8423-5581; Amanzhol, Nazerke/0000-0003-0527-6279; Sarmurzin, Yerbol/0000-0003-3142-0545;",,,,,Challenging aspects of Kazakhstan's trilingual education policy: evidence from a literature review,,,,,,,,ASIA PACIFIC EDUCATION REVIEW,,,,25.0,4,,,801,811,,,,10.1007/s12564-023-09823-7,,,,,JAN 2023,,Review,OCT 2024,2024,"The research reported in this article explored the implementation of Trilingual Education Policy in Kazakhstan. The authors explain the challenges stakeholders came across while taking on the reforms in the language-in-education policy. In this context, the scholars describe four main challenges, such as the simultaneous implementation of several reforms, teachers training, a lack of an English environment, and different language origins. The topic is important, as the issue has been raised for almost two decades. Despite the two decades of meticulous deliberation and piloting of the system, it has not been fully implemented yet. During the research, a systematic literature review method was adopted. The authors used Google Scholar, ERIC, Web of Science, and Scopus databases as well as the official websites of the Government of Kazakhstan and Media resources. This review was conducted using Russian, English, and Kazakh databases.",,,,,,,,,11,0,0,0,0,0,15,0,25,1598-1037,1876-407X,,,,,,,,,,,,,,2023-02-14,WOS:000919936000001,,
J,"Zhunussova, Gulnissa; Tajik, Mir Afzal; Fillipova, Lyudmila; Antwi, Seth Kwadwo",,,,"Zhunussova, Gulnissa/ABF-2529-2021","Zhunussova, Gulnissa/0000-0002-3584-3142; Tajik, Mir/0000-0003-2951-266X",,,,,"I am a mixed person of Kazakh, Turkish and English: Multilingual students' identity in EMI universities in Kazakhstan",,,,,,,,SYSTEM,,,,119.0,,,,,,103159,,,10.1016/j.system.2023.103159,,,,,OCT 2023,,Article,DEC 2023,2023,"With the increasing growth of English as a medium of instruction (EMI) programs around the globe, there is a need for systematic research situated within the multilingual nature of EMI settings. Drawing upon the theory of Pavlenko and Blackledge's (2004) identities in multilingual contexts, this study investigated the construction of students' identities in EMI universities in Kazakhstan. The data analysis revealed how multilingual students' identity can be affected by language ideologies and power relations of the wider sociolinguistic and socio-political context in Kazakhstan. The empirical evidence indicated that identity may consist of multiple domains, which can be reshaped depending on the contextual features. Multilingual students in EMI programs can construct a variety of identities due to the existing macro discourses shaping language ideologies in Kazakhstan and resist the imposed identities by exerting their agency. The findings of this research contribute geographically and theoretically to the existing EMI scholarship with nuanced insights on the sociolinguistic role of multilingualism in students' identity, which can be used to inform EMI policies and practices based on a bottom-up approach.",,,,,,,,,9,0,0,0,1,0,12,2,20,0346-251X,1879-3282,,,,,,,,,,,,,,2023-12-17,WOS:001101954200001,,
J,"Mussina, Kamilla; Kadyrov, Shirali; Kashkynbayev, Ardak; Yerdessov, Sauran; Zhakhina, Gulnur; Sakko, Yesbolat; Zollanvari, Amin; Gaipov, Abduzhappar",,,,"Mussina, Kamilla/KSS-1158-2024; Kashkynbayev, Ardak/N-9055-2017; Yerdessov, Sauran/GRO-6153-2022; Zhakhina, Gulnur/AAK-6195-2021; Zollanvari, Amin/ABB-7881-2021; Kadyrov, Shirali/C-9688-2018; Gaipov, Abduzhappar/G-3059-2012; Sakko, Yesbolat/ABF-9071-2021","Gaipov, Abduzhappar/0000-0002-9844-8772; Sakko, Yesbolat/0000-0002-1694-2399",,,,,Prevalence of HIV in Kazakhstan 2010-2020 and Its Forecasting for the Next 10 Years,,,,,,,,HIV AIDS-RESEARCH AND PALLIATIVE CARE,,,,15.0,,,,387,397,,,,10.2147/HIV.S413876,,,,,,,Article,2023,2023,"Background: HIV is a growing public health burden that threatens thousands of people in Kazakhstan. Countries around the world, including Kazakhstan, are facing significant problems in predicting HIV infection prevalence. It is crucial to understand the epidemiological trends of infectious diseases and to monitor the prevalence of HIV in a long-term perspective. Thus, in this study, we aimed to forecast the prevalence of HIV in Kazakhstan for 10 years from 2020 to 2030 by using mathematical modeling and time series analysis.Methods: We use statistical Autoregressive Integrated Moving Average (ARIMA) models and a nonlinear epidemic Susceptible Infected (SI) model to forecast the HIV infection prevalence rate in Kazakhstan. We estimated the parameters of the models using open data on the prevalence of HIV infection among women and men (aged 15-49 years) in Kazakhstan provided by the Kazakhstan Bureau of National Statistics. We also predict the effect of pre-exposure prophylaxis (PrEP) control measures on the prevalence rate.Results: The ARIMA (1,2,0) model suggests that the prevalence of HIV infection in Kazakhstan will increase from 0.29 in 2021 to 0.47 by 2030. On the other hand, the SI model suggests that this parameter will increase to 0.60 by 2030 based on the same data. Both models were statistically significant by Akaike Information Criterion corrected (AICc) score and by the goodness of fit. HIV prevention under the PrEP strategy on the SI model showed a significant effect on the reduction of the HIV prevalence rate.Conclusion: This study revealed that ARIMA (1,2,0) predicts a linear increasing trend, while SI forecasts a nonlinear increase with a higher prevalence of HIV. Therefore, it is recommended for healthcare providers and policymakers use this model to calculate the cost required for the regional allocation of healthcare resources. Moreover, this model can be used for planning effective healthcare treatments.",,,,,,,,,6,0,0,0,4,0,7,0,4,1179-1373,,,,,,,,,,,,,,,2023-07-21,WOS:001025665500001,37426767.0,
J,"Balta, Nuri; Japashov, Nursultan; Mansurova, Aizhan; Tzafilkou, Katerina; Oliveira, Alandeom W.; Lathrop, Rob",,,,"BALTA, NURI/AAD-6854-2021; Japashov, Nursultan/LPP-8932-2024","BALTA, NURI/0000-0002-6364-5346; Tzafilkou, Katerina/0000-0003-4092-6492; Japashov, Nursultan/0000-0002-6338-8132; Lathrop, Rob/0009-0007-9280-8224",,,,,"Middle- and secondary-school students' STEM career interest and its relationship to gender, grades, and family size in Kazakhstan",,,,,,,,SCIENCE EDUCATION,,,,107.0,2,,,401,426,,,,10.1002/sce.21776,,,,,NOV 2022,,Article,MAR 2023,2023,"Despite pervasive educational efforts, student interest in STEM careers continues to decline in many countries. The present study seeks to better understand this phenomenon by examining how internal factors (gender) and external factors (school grades, grade level, family size) relate to Kazakh students' STEM career interests. To this end, a newly developed instrument (STEM Career Interest Survey) based on social cognitive career theory was used to assess interest in STEM careers among middle- and secondary students in Kazakhstan. The survey was completed by a sample of 396 Kazakh students in grades 7 to 12. Our statistical analyses revealed that (1) female students were generally less interested in STEM careers than male students; (2) students with higher grades in physics classes were significantly more interested in STEM careers than low-performing students; (3) students at higher grade levels were generally more interested in STEM careers than those in lower grade levels; (4) the number of siblings was positively associated with student interest in mathematics careers; and, (5) family support and role models were significantly correlated with student STEM career interest. Our findings suggest that student development of interest in STEM careers constitutes an epigenetic phenomenon that involves complex interactions between internal factors (e.g., self-efficacy) and external factors (e.g., gender stereotypes). Based on this, it is argued that the promotion of student interest in STEM careers is a multifaceted problem whose resolution requires, among other things, dispelling stereotypes in students' sociocultural context through systematic renegotiation of traditional gender-technology relations characteristic of a country's culture.",,,,,,,,,20,0,0,0,2,1,28,4,55,0036-8326,1098-237X,,,,,,,,,,,,,,2022-11-13,WOS:000877652900001,,
J,"Tleubayev, Alisher; Bobojonov, Ihtiyor; Goetz, Linde",,,,"; Götz, Linde/ACO-5765-2022; Tleubayev, Alisher/JMQ-9398-2023","Bobojonov, Ihtiyor/0000-0003-2166-6234; Götz, Linde/0000-0001-8204-4522; Tleubayev, Alisher/0000-0001-8026-8848",,,,,Agricultural Policies and Technical Efficiency of Wheat Production in Kazakhstan and Russia: Evidence from a Stochastic Frontier Approach,,,,,,,,JOURNAL OF AGRICULTURAL AND APPLIED ECONOMICS,,,,54.0,3,,,407,421,,,,10.1017/aae.2022.13,,,,,MAY 2022,,Article,AUG 2022,2022,"We utilize a unique primary data set of farms in Russia and Kazakhstan to investigate the link between policy reforms and technical efficiency. These countries have heavily subsidized their domestic agricultural production over the last decade, with a total of around USD 76 billion USD and USD 11.5 billion USD in government funding directed towards the agricultural sectors in Russia and Kazakhstan, respectively. Results of a stochastic frontier analysis make evident that variable inputs, such as fertilizer, have a relatively large influence on wheat production compared to land. Nearly every fifth farm has a technical efficiency level lower than 60%, suggesting significant unrealized production potential. While our analysis shows a negative relation between subsidies and efficiency, other factors, such as farmer's education, cooperative and agroholding membership, and participation in insurance programs, are positively related to farm efficiency. The results imply that the governments and policymakers could mobilize the unutilized wheat production potential by improving the farmer education system, fostering cooperation among farms, and developing functioning farm insurance schemes.",,,,,,,,,7,0,0,0,0,0,11,2,13,1074-0708,2056-7405,,,,,,,,,,,,,,2022-05-27,WOS:000796760800001,,
