"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Khussainov, D.","Khussainov, Dastan (55596026100)","55596026100","Playing Small as Big: Entrepreneurial Middle Manager at the Intersection of Translation and Transformation","2026","FIIB Business Review","15","1","","20","35","0","10.1177/23197145251387907","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021363817&doi=10.1177%2F23197145251387907&partnerID=40&md5=38600d14ed9e9a1c86a0623dc67b6caa","School of Business, SDU University, Kaskelen, Almaty, Kazakhstan","Khussainov, Dastan, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan","This article examines how a middle manager navigated tensions arising at the intersection of institutional translation and transformation. Drawing on a longitudinal real-time case study, this article explores how a middle manager of a newly created organizational unit managed a tension caused by stakeholder resistance. The study reveals that by shifting the audience’s sensemaking frame from structure to scale, the manager was able to facilitate organizational transformation. The findings reveal that, through the process of tactical sense giving, the manager was able to outgrow the power frame causing the tension and gained the acceptance from stakeholders. Through mechanisms of an altering sense-giving frame and renewed sense giving, the manager successfully navigated the tension and gained acceptance. With these insights, I contribute to the literature by offering a process model of tactical sense giving for middle managers to overcome the tension in the context of intersection of institutional translation and organizational transformation. Practically, the study provides actionable insights for change agents; when they encounter tensions arising from limiting frames, they should seek alternative frames that offer greater potential. © 2025 Fortune Institute of International Business","corporate entrepreneurship; institutional translation; managerial tension; middle management; middle management sense-giving; Organizational transformation","","Nazarbayev University, NU, (GSB2022002)","The author disclosed receipt of the following financial support for the research, authorship and/or publication of this article: The Faculty Development Grant from Nazarbayev University Grant No. GSB2022002 supports this research.","","","","","","Article","Final","","Scopus","2-s2.0-105021363817"
"Sulaimani, M.N.H.A.; Memon, M.A.; Mirza, M.Z.; Sarwar, N.; Obaid, A.","Sulaimani, Marwa Naseer Hamed Al (60132473100); Memon, Mumtaz Ali (56195885200); Mirza, Muhammad Zeeshan (57007816800); Sarwar, Naukhez (57217859413); Obaid, Asfia (57202867383)","60132473100; 56195885200; 57007816800; 57217859413; 57202867383","When Good Deeds Backfire: External CSR, Supervisors’ Mentality, and Unethical Pro-Organizational Behavior","2026","Global Business and Organizational Excellence","45","2","","178","188","0","10.1002/joe.70013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018200091&doi=10.1002%2Fjoe.70013&partnerID=40&md5=ddeb21696b56c0b4c272b6f2910f2889","NUST Business School, Islamabad, Pakistan; Faculty of Business, Sohar University, Sohar, Oman; School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Strategic Research Institute, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; School of Management, New Uzbekistan University, Tashkent, Uzbekistan","Sulaimani, Marwa Naseer Hamed Al, NUST Business School, Islamabad, Pakistan; Memon, Mumtaz Ali, NUST Business School, Islamabad, Pakistan, Faculty of Business, Sohar University, Sohar, Oman, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan, Strategic Research Institute, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Mirza, Muhammad Zeeshan, NUST Business School, Islamabad, Pakistan, School of Management, New Uzbekistan University, Tashkent, Uzbekistan; Sarwar, Naukhez, NUST Business School, Islamabad, Pakistan; Obaid, Asfia, NUST Business School, Islamabad, Pakistan","Drawing on vicarious moral licensing theory, this study examines the influence of perceived external CSR on unethical pro-organizational behavior (UPB), which subsequently affects perceived supervisor-rated performance (PSRP). It further investigates the mediating role of UPB in the CSR–PSRP relationship and the moderating effect of supervisors’ bottom-line mentality (SBLM) on the CSR–UPB link. Using multiple sampling techniques, data were collected from 184 professionals employed in service sector organizations. Partial least squares structural equation modeling (PLS-SEM) was applied to test the hypothesized model. Results indicate that perceived external CSR positively influences UPB, which in turn raises employees’ PSRP. UPB also mediates the relationship between perceived CSR and PSRP. Moreover, SBLM strengthens the relationship between external CSR and UPB. This study is among the first to examine the link between perceived external CSR, UPB, and PSRP, thereby contributing to vicarious moral licensing literature in workplace settings. It also addresses the limited research on the moderating role of SBLM in the CSR–UPB relationship. © 2025 Wiley Periodicals LLC.","bottom-line mentality; external CSR; unethical pro-organizational behavior; vicarious moral licensing theory","","","","","","","","","Article","Final","","Scopus","2-s2.0-105018200091"
"Kadyrov, S.; Azamov, A.; Abdumajitov, Y.; Turan, C.","Kadyrov, Shirali (36844229300); Azamov, Azamkhon (60030541700); Abdumajitov, Yelbek (60030541800); Turan, Cemil (56246423000)","36844229300; 60030541700; 60030541800; 56246423000","Deep reinforcement learning for dynamic vehicle routing with demand and traffic uncertainty","2025","Operations Research Perspectives","15","","100351","","","5","10.1016/j.orp.2025.100351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012601830&doi=10.1016%2Fj.orp.2025.100351&partnerID=40&md5=3327d8cbda87a02254a2e1c9cee136c5","New Uzbekistan University, Tashkent, Uzbekistan; SDU University, Kaskelen, Almaty, Kazakhstan","Kadyrov, Shirali, New Uzbekistan University, Tashkent, Uzbekistan; Azamov, Azamkhon, New Uzbekistan University, Tashkent, Uzbekistan; Abdumajitov, Yelbek, New Uzbekistan University, Tashkent, Uzbekistan; Turan, Cemil, SDU University, Kaskelen, Almaty, Kazakhstan","The capacitated vehicle routing problem with dynamic demand and traffic conditions presents significant challenges in logistics and supply chain optimization. Traditional methods often fail to adapt to real-time uncertainties in customer demand and traffic patterns or scale to large problem instances. In this work, we propose a deep reinforcement learning framework to learn adaptive routing policies for dynamic capacitated vehicle routing problem environments with stochastic demand and traffic. Our approach integrates graph neural networks to encode spatial problem structure and proximal policy optimization to train robust policies under both demand and traffic uncertainty. Experiments on synthetic grid-based routing environments show that our method outperforms classical heuristics and greedy baselines in minimizing travel cost while maintaining feasibility. The learned policies generalize to unseen demand and traffic scenarios and scale to larger graphs than those seen during training. Our results highlight the potential of deep reinforcement learning for real-world dynamic routing problems where both demand and traffic evolve unpredictably. © 2025 The Authors","Combinatorial optimization; Deep reinforcement learning; Demand uncertainty; Graph neural networks; Markov Decision Process; Proximal policy optimization; Traffic uncertainty; Vehicle Routing Problem","","Ministry of Education and Science of the Republic of Kazakhstan, (IRN AP19675614); Ministry of Education and Science of the Republic of Kazakhstan","This research was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (No. IRN AP19675614)","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105012601830"
"Yedgenov, B.; Tursyn, А.; Zhorayev, О.","Yedgenov, Bauyrzhan (57195780247); Tursyn, А. (60354695100); Zhorayev, О. (60354260400)","57195780247; 60354695100; 60354260400","Determinants of Public Procurement Activity in Kazakhstan: Evidence from Regional Panel; Детерминанты активности государственных закупок в Казахстане: анализ на основе региональных панельных данных","2025","Economy: strategy and practice","20","4","","63","76","0","10.51176/1997-9967-2025-4-63-76","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028670947&doi=10.51176%2F1997-9967-2025-4-63-76&partnerID=40&md5=4e6dd44c53ad4a607915ea071a7f477d","SDU University, Kaskelen, Almaty, Kazakhstan; Narxoz University, Almaty, Kazakhstan; George Mason University, Fairfax, VA, United States","Yedgenov, Bauyrzhan, SDU University, Kaskelen, Almaty, Kazakhstan; Tursyn, А., Narxoz University, Almaty, Kazakhstan; Zhorayev, О., George Mason University, Fairfax, VA, United States","Public procurement is an important tool for providing public services and regional development, but its effectiveness varies significantly between regions, especially in Kazakhstan. The purpose of this study is to assess the impact of fiscal dependence and socio-economic conditions on the level of disruption of public procurement and intensity of procurement activities in Kazakhstan using a panel econometric approach with two-way fixed effects models, which allows taking into account unchangeable regional characteristics and general economic shocks. The empirical base of the study consists of a unique panel dataset on 458 districts and 17 cities of Kazakhstan covering 2016-2024 and includes 432,438 contracts worth 2.65 trillion tenge in total. The results show that, on average, 3.14% of contracts are declared invalid, corresponding to 0.87% of total purchase price.. The most stable factor disrupting purchases is inflation. An increase in the CPI by 1 point leads to an increase in failed contracts by 0.3-0.4 percentage points (p<0.01). Dependence on inter-budget transfers has a weak and unstable impact. Purchasing activity is significantly related to the labour market situation. Rising unemployment reduces both the number and value of contracts. Higher wages contribute to increasing their number. Inflation is a key constraint on public procurement effectiveness. In the future, research can be expanded by using more detailed regional socio-economic data and by disaggregating procurement by type of procedure and sector. © 2025, Institute of Economics Committee of Science MSHE RK. All rights reserved.","Budget; Finance; Financial Potential; Fiscal Strategy; Government Spending; Public Procurement; Regional Development; Regional Economy","","","FINANCIAL SUPPORT PThis research was funded by the Committee of Science of the ?inistry of Science and ?igher Education of the Republic of Kazakhstan under Grant No \u5800 A? \uEE03\uEF03\uF003\uF403\uF403\uF303\uF003\uF203?","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028670947"
"Gassanova, A.; Kozhakhmet, S.","Gassanova, Amina (57286546500); Kozhakhmet, Sanat (57193951441)","57286546500; 57193951441","Mapping the landscape of HRM research in higher education: a 40-year review and directions for future research","2024","International Journal of Educational Management","38","1","","158","177","8","10.1108/IJEM-04-2023-0189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180172842&doi=10.1108%2FIJEM-04-2023-0189&partnerID=40&md5=08e4dbb46b7b119cde96381940a6313d","School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Oxford Brookes Business School, Oxford, Oxfordshire, United Kingdom","Gassanova, Amina, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Kozhakhmet, Sanat, Oxford Brookes Business School, Oxford, Oxfordshire, United Kingdom","Purpose: The purpose of this study is to analyze and map the terrain of human resource management (HRM) in higher education (HE) contexts, with the aim of uncovering potential gaps within the existing knowledge base. Design/methodology/approach: This study employs a unique, in-depth bibliometric analysis of 945 publications from the Web of Science database over the past 40 years between 1981 and 2022. Findings: Based on the bibliometric analysis, the authors retrospectively examined the dominant research themes in HRM within the HE sphere, tracing their evolution over time. Four central clusters emerged: the theoretical foundations of HRM, strategic HRM, organizational culture and human capital development. Furthermore, the authors pinpointed critical research gaps and proposed areas for future inquiry, such as the impact of HRM on productivity, leadership dynamics, sustainable growth development, international staffing strategies and knowledge transfer mechanisms. Research limitations/implications: This study demonstrates how academics can use bibliometric techniques to systemize literature, expose potential gaps and suggest fruitful lines of inquiry in the field of investigation. The findings of this study can also help improve the decision-making processes of managers and human resource professionals. Originality/value: This study provides readers with a systematic understanding of the development of HRM in HE settings and presents forward-looking perspectives, highlighting future research possibilities. Moreover, it validates the significance of bibliometric analysis as an efficient technique for discovering gaps in the existing literature. © 2023, Emerald Publishing Limited.","Bibliometric review; Higher education; Human resource management; Performance analysis; Science mapping; VOSviewer","","","","","","","","","Review","Final","","Scopus","2-s2.0-85180172842"
"KHAZIMOV, K.; Sagyndykova, Z.; Khazimov, Z.; Daurenova, I.; Umbetkulov, Y.; Khazimov, M.","KHAZIMOV, Kanat M. (56469755000); Sagyndykova, Zh B. (57224165729); Khazimov, Z. M. (56469634800); Daurenova, Indira (59226221400); Umbetkulov, Yertugan (57205218595); Khazimov, M. Zh (55212169200)","56469755000; 57224165729; 56469634800; 59226221400; 57205218595; 55212169200","Thermal Welding in the Neck of Vacuum Flexible Container with Self-propelled Welding Module","2024","International Journal of Technology","15","4","","1088","1101","2","10.14716/ijtech.v15i4.6486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199115213&doi=10.14716%2Fijtech.v15i4.6486&partnerID=40&md5=7738062dcf537b8451269812515cf7ae","Kazakh National Agrarian Research University, Almaty, Kazakhstan; Almaty University of Power Engineering and Telecommunications, Almaty, Almaty Province, Kazakhstan; Al Farabi Kazakh National University, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan","KHAZIMOV, Kanat M., Kazakh National Agrarian Research University, Almaty, Kazakhstan, SDU University, Kaskelen, Almaty, Kazakhstan; Sagyndykova, Zh B., Kazakh National Agrarian Research University, Almaty, Kazakhstan, Almaty University of Power Engineering and Telecommunications, Almaty, Almaty Province, Kazakhstan; Khazimov, Z. M., Kazakh National Agrarian Research University, Almaty, Kazakhstan; Daurenova, Indira, Almaty University of Power Engineering and Telecommunications, Almaty, Almaty Province, Kazakhstan; Umbetkulov, Yertugan, Almaty University of Power Engineering and Telecommunications, Almaty, Almaty Province, Kazakhstan; Khazimov, M. Zh, Kazakh National Agrarian Research University, Almaty, Kazakhstan, Almaty University of Power Engineering and Telecommunications, Almaty, Almaty Province, Kazakhstan, Al Farabi Kazakh National University, Almaty, Kazakhstan","This study aimed to investigate the stability of weld seams in the neck of flexible containers made from polyethylene film for silage and storage of fresh ground corn mass as feed during thermal welding using a movable welding module. An analysis of the thermal conductivity of polyethylene film was conducted to determine temperature change pattern in the thin layer over time. The values obtained were used to establish optimal operating limits for the heating device during welding process. Subsequently, the resistance to rupture of the polyethylene film seams welded at different temperatures was evaluated by generating vacuum pressure in a specially designed installation. The results of polyethylene film PE-115 samples showed a pattern of limiting vacuum pressure values corresponding to different welding temperatures. The mathematical function obtained was used to identify the maximum value of the burst pressure of weld seams, which corresponded to 61.8 kPa at a temperature of 177oC. These results allowed for the determination of the optimal welding mode for sealing the container neck. © (2024), (International Journal of Technology). All rights reserved.","Ensiling; Flexible container; Polyethylene welded seams; Welding module","","Ministry of Education and Science of the Republic of Kazakhstan, (2022 -2024, AP13067761); Ministry of Education and Science of the Republic of Kazakhstan","This study was funded by the Committee of Science of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Years for research grant are 2022 -2024. Grant No. AP13067761).","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85199115213"
"De Lombaerde, P.; Moldashev, K.; Qoraboyev, I.; Taghon, S.","De Lombaerde, Philippe (15029875900); Moldashev, Kairat (57195416591); Qoraboyev, Ikboljon (57201202270); Taghon, Servaas (57827507600)","15029875900; 57195416591; 57201202270; 57827507600","Strategic responses of regional economic organizations to the Chinese Belt and Road Initiative: the cases of ASEAN, EAEU, and EU","2024","Asia Pacific Business Review","30","2","","399","419","10","10.1080/13602381.2022.2093526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135261969&doi=10.1080%2F13602381.2022.2093526&partnerID=40&md5=96869e7b9557620448baff9cf8cd4f4e","NEOMA Business School, Mont-Saint-Aignan, Normandie, France; UNU-CRIS, Brugge, Belgium; Vrije Universiteit Brussel, Brussels, BRU, Belgium; School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; International School of Economics, M. Narikbayev KAZGUU University, Astana, Kazakhstan; Universiteit Gent, Ghent, VOV, Belgium","De Lombaerde, Philippe, NEOMA Business School, Mont-Saint-Aignan, Normandie, France, UNU-CRIS, Brugge, Belgium, Vrije Universiteit Brussel, Brussels, BRU, Belgium; Moldashev, Kairat, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Qoraboyev, Ikboljon, UNU-CRIS, Brugge, Belgium, International School of Economics, M. Narikbayev KAZGUU University, Astana, Kazakhstan; Taghon, Servaas, Universiteit Gent, Ghent, VOV, Belgium","The aim of this paper is to undertake a systematic comparative analysis of how regional economic organizations (REOs) in the wider Eurasian region have strategically responded to the Chinese Belt and Road Initiative. The theoretical framework is based on the external actorness literature, comparative regionalism, and foreign policy analysis. The analysis links the distinctive features of the REOs to the shape and impact of their strategic responses to the Belt and Road Initiative. At the same time, it shows the extent to which REOs play a functional role vis-à-vis their member states and large firms in a macro-regional strategic context. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","ASEAN; Belt and Road Initiative; China; Eurasian economic union; European Union; strategy","ASEAN; comparative study; European Union; regional economy; regionalism; Eurasia; Southeast Asia","","","","","","","","Article","Final","","Scopus","2-s2.0-85135261969"
"Kozhakhmet, S.; Boranbayeva, A.; Gassanova, A.","Kozhakhmet, Sanat (57193951441); Boranbayeva, Ainur (57293034400); Gassanova, Amina (57286546500)","57193951441; 57293034400; 57286546500","The interplay of access to organisational resources, firm innovativeness, and cooperative norms in technology transfer: testing a moderated mediation model","2024","Technology Analysis and Strategic Management","36","3","","486","500","1","10.1080/09537325.2022.2037543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124757395&doi=10.1080%2F09537325.2022.2037543&partnerID=40&md5=08e238bdb6f9883021fb360085d0aac7","School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Management, Al Farabi Kazakh National University, Almaty, Kazakhstan","Kozhakhmet, Sanat, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Boranbayeva, Ainur, Department of Management, Al Farabi Kazakh National University, Almaty, Kazakhstan; Gassanova, Amina, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan","In recent decades, many developing countries have launched transfer initiatives to develop their infrastructure, economy, and standard of living because they have not had the knowledge and technical expertise to implement large and complex infrastructure projects. Therefore, scholars have examined the technology transfer process from various perspectives. However, there is still a lack of understating of how access to organisational resources may indirectly relate to the technology transfer process. Thus, the current study aims to address these limitations by examining how firm innovativeness mediates between access to organisational resources and international technology transfer. Based on social exchange theory and using a resource-based view, we aim to assess the potential mediating role of firm innovativeness and the moderating role of cooperative norms. Data were collected from 150 middle and top managers at innovative agricultural companies in Kazakhstan. The results show that firm innovativeness mediates access to organisational resources and technology transfer. Moreover, the moderating role of cooperative norms on the path between firm innovativeness and technology transfer was proved. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","Access to organisational resources; cooperative norms; firm innovativeness; innovative agriculture; technology transfer","accessibility; agroindustry; developing world; economic development; industrial performance; infrastructural development; innovation; living standard; management practice; organizational framework; resource allocation; technological development; technology transfer; Kazakhstan","","","","","","","","Article","Final","","Scopus","2-s2.0-85124757395"
"Alibekova, G.Zh.; Yedgenov, B.; Kozhakhmetova, A.K.; Mynbaeva, E.N.","Alibekova, G. Zh (57190415127); Yedgenov, Bauyrzhan (57195780247); Kozhakhmetova, Assel K. (57209825232); Mynbaeva, Elmira N. (60138489500)","57190415127; 57195780247; 57209825232; 60138489500","Evaluation of Technology Commercialization Factors in Kazakhstan","2024","Economy: strategy and practice","19","2","","41","57","2","10.51176/1997-9967-2024-2-41-57","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018612321&doi=10.51176%2F1997-9967-2024-2-41-57&partnerID=40&md5=5f21c8b099606ae1c96ad0ccb0da689c","Institute of Economics CS MSHE RK, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan; Kazakh-British Technical University, Almaty, Kazakhstan; M. Narikbayev KAZGUU University, Astana, Kazakhstan","Alibekova, G. Zh, Institute of Economics CS MSHE RK, Almaty, Kazakhstan; Yedgenov, Bauyrzhan, SDU University, Kaskelen, Almaty, Kazakhstan; Kozhakhmetova, Assel K., Kazakh-British Technical University, Almaty, Kazakhstan; Mynbaeva, Elmira N., M. Narikbayev KAZGUU University, Astana, Kazakhstan","The commercialization of scientific research and development (R&D) results is a key driver for enhancing corporate revenues and profits, positively impacting economic development, and increasing global and national competitiveness. However, commercialization is a complex process influenced by various factors. This study aims to assess the mutual influence of commercialization factors of R&D in Kazakhstan and provide recommendations to strengthen positive influences and mitigate negative ones. Utilizing official data from the Bureau of National Statistics, including metrics such as enterprise innovation activity, the share of innovative products in GDP, patent numbers, R&D expenditures, industry innovation costs, and R&D personnel, a regression analysis was conducted using the time series method and the vector autoregression (VAR) approach. The analysis revealed that increased innovative activity of enterprises positively impacts the export of innovative products after three years but negatively affects the share of innovative products in GDP. Additionally, higher industry innovation costs and an increase in patent numbers lead to a rise in innovative product exports after three years. However, an increase in innovative product exports subsequently reduces patent numbers after three years. These results indicate that domestic enterprises focus primarily on expanding export-oriented products for short-term profit gains, reducing costs, and achieving immediate results, often at the expense of substantial innovation activities. The findings suggest a need for strategies to balance short-term profit motives with sustainable innovation investments to enhance long-term economic growth and competitiveness. © 2024, Institute of Economics Committee of Science MSHE RK. All rights reserved.","Commercialization; Commercialization Factors; Economic benefits; Innovative Activity; Science; Time Series Method; Vector Autoregression Approach","","(BR21882077)","Funding text 1: FINANCIAL SU??ORT \u5700Th e article was prepared as part of scientific research under the program funded by the Committee of Science ?S?E RK S?mproving the mechanisms for effective regulation of the processes of commercial? ization of applied R \u9800\u1800 projects \u5F00 \u7E00BR \uEE03\uED03\uF403\uF403\uEE03\uEC03\uF303\uF303\u7F03?; Funding text 2: The article was prepared as part of scientific research under the program funded by the Committee of Science MSHE RK \u201CImproving the mechanisms for effective regulation of the processes of commercialization of applied R&D projects\u201D (BR21882077).","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105018612321"
"Ayazbayev, D.; Bogdanchikov, A.; Orynbekova, K.; Varlamis, I.","Ayazbayev, Dauren A. (58027694900); Bogdanchikov, Andrey (57216432873); Orynbekova, Kamila (57207759934); Varlamis, Iraklis (6603228762)","58027694900; 57216432873; 57207759934; 6603228762","Defining Semantically Close Words of Kazakh Language with Distributed System Apache Spark","2023","Big Data and Cognitive Computing","7","4","160","","","5","10.3390/bdcc7040160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180637999&doi=10.3390%2Fbdcc7040160&partnerID=40&md5=c8e2cccb73fc2e6030bbb7ef7f181c1a","Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Informatics and Telematics, Harokopio University of Athens, Athens, Attica, Greece","Ayazbayev, Dauren A., Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Bogdanchikov, Andrey, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Orynbekova, Kamila, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Varlamis, Iraklis, Department of Informatics and Telematics, Harokopio University of Athens, Athens, Attica, Greece","This work focuses on determining semantically close words and using semantic similarity in general in order to improve performance in information retrieval tasks. The semantic similarity of words is an important task with many applications from information retrieval to spell checking or even document clustering and classification. Although, in languages with rich linguistic resources, the methods and tools for this task are well established, some languages do not have such tools. The first step in our experiment is to represent the words in a collection in a vector form and then define the semantic similarity of the terms using a vector similarity method. In order to tame the complexity of the task, which relies on the number of word (and, consequently, of the vector) pairs that have to be combined in order to define the semantically closest word pairs, A distributed method that runs on Apache Spark is designed to reduce the calculation time by running comparison tasks in parallel. Three alternative implementations are proposed and tested using a list of target words and seeking the most semantically similar words from a lexicon for each one of them. In a second step, we employ pre-trained multilingual sentence transformers to capture the content semantics at a sentence level and a vector-based semantic index to accelerate the searches. The code is written in MapReduce, and the experiments and results show that the proposed methods can provide an interesting solution for finding similar words or texts in the Kazakh language. © 2023 by the authors.","Apache Spark; cosine; FAISS; natural language processing; semantically close words; vector","Classification (of information); Information retrieval; Information retrieval systems; MapReduce; Natural language processing systems; Search engines; Semantics; Apache spark; Cosine; Distributed systems; FAISS; Improve performance; Language processing; Natural language processing; Natural languages; Semantic similarity; Semantically close word; Vectors","","","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85180637999"
