"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Bakranova, D.; Nagel, D.; Bakranov, N.; Kapsalamova, F.; Boukhvalov, D.","Bakranova, Dina I. (57189357367); Nagel, D. J. (7102022710); Bakranov, Nurlan B. (56122094300); Kapsalamova, F. R. (57208320407); Boukhvalov, Danil W. (6603144921)","57189357367; 7102022710; 56122094300; 57208320407; 6603144921","Tunable SiC-Based Photocatalysts for Hydrogen Generation and Environmental Remediation","2026","International Journal of Molecular Sciences","27","2","774","","","0","10.3390/ijms27020774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028638621&doi=10.3390%2Fijms27020774&partnerID=40&md5=e49c819cb3a316580b0c799c030771fe","School of Information Technologies and Applied Mathematics, SDU University, Kaskelen, Almaty, Kazakhstan; School of Engineering and Applied Science, Washington, D.C., United States; Research Group altAir Nanolab LLP, Almaty, Almaty, Kazakhstan; School of Materials Science and Green Technologies, Kazakh-British Technical University, Almaty, Kazakhstan; College of Sciences, Nanjing Forestry University, Nanjing, Jiangsu, China","Bakranova, Dina I., School of Information Technologies and Applied Mathematics, SDU University, Kaskelen, Almaty, Kazakhstan; Nagel, D. J., School of Engineering and Applied Science, Washington, D.C., United States; Bakranov, Nurlan B., Research Group altAir Nanolab LLP, Almaty, Almaty, Kazakhstan; Kapsalamova, F. R., School of Materials Science and Green Technologies, Kazakh-British Technical University, Almaty, Kazakhstan; Boukhvalov, Danil W., College of Sciences, Nanjing Forestry University, Nanjing, Jiangsu, China","Silicon carbide (SiC) has emerged as a robust and tunable semiconductor for advanced photocatalytic applications. This review provides a comprehensive overview of recent progress in the development of SiC-based materials for environmental remediation and solar-driven hydrogen production. Key aspects discussed include morphological engineering, heterostructure design, doping strategies, and plasmonic enhancement. Emphasis is placed on structure–activity relationships, insights from density functional theory (DFT) and machine learning (ML) models, and synergistic effects in composite systems. This review concludes with a critical analysis of current challenges and future research directions, highlighting the potential of SiC implementation as a sustainable platform for next-generation photocatalytic technologies. © 2026 by the authors.","carbon dioxide (CO2) reduction; dye degradation; environmental remediation; machine learning; photocatalysis; silicon carbide; wastewater treatment; water splitting","carbon dioxide; dye; hydrogen; silicon carbide; inorganic compound; silicon derivative; degradation; density functional theory; ecosystem restoration; electric potential; human; machine learning; nonhuman; pharmacology; photocatalysis; reduction (chemistry); review; semiconductor; structure activity relation; waste water management; water splitting; catalysis; chemistry; photochemistry; procedures; Carbon Compounds, Inorganic; Catalysis; Environmental Restoration and Remediation; Hydrogen; Photochemical Processes; Silicon Compounds","Ministry of Education and Science of the Republic of Kazakhstan, (AP23490626); Ministry of Education and Science of the Republic of Kazakhstan","The authors declare that financial support was received for the research, authorship, and/or publication of this article. This research study was funded by the Science Committee of the Ministry of High Education and Science of the Republic of Kazakhstan (Grant No. AP23490626 \u201CResearch and development of ZnO/BiVO4 and Cu2O/ZnO photoelectrodes to create highly efficient tandem light-driven hydrogen production systems\u201D).","","","","","","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105028638621"
"Bekbolat, B.; Karimov, E.; Tokmagambetov, N.","Bekbolat, Bayan (57209835933); Karimov, E. T. (23397493000); Tokmagambetov, Niyaz Esenzholovich (55618129900)","57209835933; 23397493000; 55618129900","Inverse Source Problem for Dunkl Heat Equation With bi-ordinal Hilfer Fractional Derivative","2026","Complex Analysis and Operator Theory","20","1","17","","","0","10.1007/s11785-025-01866-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023532105&doi=10.1007%2Fs11785-025-01866-5&partnerID=40&md5=3bde0382122182fd32c05560050f5e0b","SDU University, Kaskelen, Almaty, Kazakhstan; Universiteit Gent, Ghent, VOV, Belgium; Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","Bekbolat, Bayan, SDU University, Kaskelen, Almaty, Kazakhstan, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; Karimov, E. T., Universiteit Gent, Ghent, VOV, Belgium; Tokmagambetov, Niyaz Esenzholovich, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","In this paper, we are interested in considering the inverse source problem for the one-dimensional heat equation with the bi-ordinal Hilfer fractional derivative with respect to the time variable and the Dunkl operator with respect to the space variable. The direct problem is also considered to help solve the inverse source problem. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.","Bi-ordinal Hilfer fractional derivative; Dunk operator; Heat equation; Inverse source problem","","Ministry of Education and Science of the Republic of Kazakhstan, (AP23487589)","This research was funded by the Committee of Science of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP23487589).","","","","","","Article","Final","","Scopus","2-s2.0-105023532105"
"Meraliyev, M.; Turan, C.; Kadyrov, S.; Sadyk, U.","Meraliyev, Meraryslan A. (57207760258); Turan, Cemil (56246423000); Kadyrov, Shirali (36844229300); Sadyk, Ualikhan (57460291500)","57207760258; 56246423000; 36844229300; 57460291500","A Comprehensive Survey of Methods and Challenges of Vehicle Routing Problem with Uncertainties","2025","Mathematics","13","23","3782","","","1","10.3390/math13233782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024580606&doi=10.3390%2Fmath13233782&partnerID=40&md5=9903d32458b520858867b20365eca882","Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan","Meraliyev, Meraryslan A., Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Turan, Cemil, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Kadyrov, Shirali, Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan; Sadyk, Ualikhan, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan","This paper presents a comprehensive survey of the methodologies and challenges associated with the Vehicle Routing Problem (VRP), focusing on the uncertainties that impact routing decisions in real-world logistics and transportation scenarios. Traditional VRP models often assume static and deterministic conditions, which do not fully capture the complexities of actual logistics operations. This paper categorizes uncertainties into demand variability, travel-time fluctuations, and other dynamic factors, such as service-time variability and vehicle breakdowns. It reviews various approaches to addressing these uncertainties, including dynamic VRP models and the application of reinforcement learning in stochastic environments. The research methodology includes a systematic review of articles published in recent years, emphasizing influential research at the intersection of VRP and uncertainty. The findings highlight the importance of bridging theoretical advances with practical applications to enhance the robustness and adaptability of VRP solutions. The paper concludes by advocating for continued research in this area to improve operational efficiency and service reliability in logistics. © 2025 by the authors.","demand variability; dynamic routing; reinforcement learning; transportation management; travel time variability; uncertainty; vehicle routing problem","","Ministry of Education and Science of the Republic of Kazakhstan, (AP19675614)","This research is funded by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan, Grant No. AP19675614.","","","","","","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105024580606"
"Adilkhan, S.; Alimanova, M.; Shi, L.; Soltiyeva, A.","Adilkhan, Shyngys (57293085300); Alimanova, Madina U. (55938129800); Shi, Lei (55615905500); Soltiyeva, Aiganym (57994434700)","57293085300; 55938129800; 55615905500; 57994434700","Advances in artificial intelligence-driven 3D model generation: a review of GAN and VAE methodologies","2025","Bulletin of Electrical Engineering and Informatics","14","6","","4988","5011","0","10.11591/eei.v14i6.10755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024093702&doi=10.11591%2Feei.v14i6.10755&partnerID=40&md5=974ef10c9d5c3f38002804871b89bd4d","Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Agriculture and Engineering, Newcastle University, Newcastle, Tyne and Wear, United Kingdom","Adilkhan, Shyngys, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Alimanova, Madina U., Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Shi, Lei, Agriculture and Engineering, Newcastle University, Newcastle, Tyne and Wear, United Kingdom; Soltiyeva, Aiganym, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan","This paper offers a comprehensive review of current developments in artificial intelligence (AI)-based 3D model creation, with an emphasis on techniques utilizing variational autoencoders (VAEs) and generative adversarial networks (GANs). 3DGAN, paired 3D model generation with GAN, conditional GAN, FaceVAE, voxel-based 3D object reconstruction, and 3D-VAE-SDFRaGAN are the six main techniques that are studied in this work. Each method is discussed, highlighting its architectural framework, data representation, and specific approach to generating 3D models. First, the paper introduces basic terms and classical 3D modeling techniques and provides a comparative analysis of them based on their workflow, purpose and field of application. In subsequent chapters, methods for generating 3D models based on the use of GANs and VAEs are reviewed, describing its methodology, experimentation technique, results, and comparison with other methods. The review outlines the strengths and limitations of each approach and their applications in object reconstruction, shape generation, and maintaining model consistency. It concludes by emphasizing how AI-driven methods can advance 3D modeling, underscoring the need for further research to enhance quality, control, and training reliability. The findings show AI’s significant impact on automating complex modeling tasks and enabling new creative opportunities in 3D content development. © 2025 Institute of Advanced Engineering and Science. All rights reserved.","3D model generation; 3D reconstruction; Artificial intelligence; Generative adversarial networks; Latent space; Polygon mesh; Variational autoencoder","","","","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024093702"
"Altay, G.; Kucuksille, E.U.","Altay, Gönül (60012727500); Kucuksille, Ecir Ugur (18037773100)","60012727500; 18037773100","Quantum-Inspired Cross-Attention Alignment for Turkish Scientific Abstractive Summarization","2025","Electronics (Switzerland)","14","22","4474","","","1","10.3390/electronics14224474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023146536&doi=10.3390%2Felectronics14224474&partnerID=40&md5=65cb0cfce17f937bcd3b2b6bc8e538f1","Department of Computer Engineering, SDU University, Kaskelen, Almaty, Kazakhstan","Altay, Gönül, Department of Computer Engineering, SDU University, Kaskelen, Almaty, Kazakhstan; Kucuksille, Ecir Ugur, Department of Computer Engineering, SDU University, Kaskelen, Almaty, Kazakhstan","This paper presents a quantum-inspired cross-attention alignment approach for abstractive summarization. The motivation is that current neural summarizers often lose key content and produce summaries that are weakly grounded in the source, especially for long and information-dense scientific articles in low-resource languages. The method itself is model-agnostic and aims to strengthen token-level alignment without introducing additional trainable parameters or inference overhead, by exploiting a Born-rule-based similarity between encoder and decoder states. This general idea is instantiated and tested on the task of summarizing Turkish scientific articles in Mathematics Education, which provides a challenging low-resource test bed with long and dense source texts. Six different fine-tuning variants built upon the mBART-50 model are examined, including SFT, LoRA baselines, and two novel quantum-augmented decoders: the parameter-free SFT + QDA + QKernel and SFT + QDA + QBorn (Born-rule-inspired, learnable classical mapping). Models are trained with five random seeds and evaluated using beam search and sampling schemes. Statistical significance is assessed via bootstrap confidence intervals, Benjamini–Hochberg FDR correction, and Cliff’s δ effect size. Beam search consistently outperforms sampling across all architectures. Our best configuration, SFT + QDA + QKernel, achieves strong results (ROUGE-L: 0.2966, BERTScore-F1: 0.8890) and yields statistically significant, large-effect gains over all baselines. These findings indicate that the proposed parameter-free quantum kernel provides a practical way to improve abstraction quality and faithfulness, particularly in low-resource summarization settings. © 2025 by the authors.","abstractive text summarization; attention alignment; born rule; low-rank adaptation (LoRA); mBART-50; quantum kernel; quantum-inspired learning; Turkish scientific articles","Abstracting; Alignment; Sampling; Abstractive text summarization; Attention alignment; Born rule; Low-rank adaptation; MBART-50; Quantum kernel; Quantum-inspired learning; Scientific articles; Text Summarisation; Turkish scientific article; Turkishs; Decoding","","","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023146536"
"Akın, S.E.; Imeci, O.; Aşci, H.; Ulusoy, A.; Milletsever, A.; Özmen, Ö.; Çömlekçi, S.","Akın, Süleyman Emre (57833854400); Imeci, Orhan Berk (57903643900); Aşci, Halil (26221574800); Ulusoy, Arzu (59548301200); Milletsever, Adem (57258635400); Özmen, Özlem Z. (6602100853); Çömlekçi, Selçuk (56000080300)","57833854400; 57903643900; 26221574800; 59548301200; 57258635400; 6602100853; 56000080300","Duration-Dependent Lung Injury Induced by High-Intensity Electric Field Exposure: Histopathological and Immunoinflammatory Insights","2025","International Journal of Molecular Sciences","26","20","10125","","","0","10.3390/ijms262010125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020267116&doi=10.3390%2Fijms262010125&partnerID=40&md5=3b4698540ecd474f7a1e424a00aa3900","Department of Thoracic Surgery, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Pharmacology, Süleyman Demirel University, Faculty of Medicine, Isparta, Turkey; Department of Bioengineering, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Department of Pathology, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey; Department of Electronics and Communication Engineering, SDU University, Kaskelen, Almaty, Kazakhstan","Akın, Süleyman Emre, Department of Thoracic Surgery, SDU University, Kaskelen, Almaty, Kazakhstan; Imeci, Orhan Berk, Department of Pharmacology, Süleyman Demirel University, Faculty of Medicine, Isparta, Turkey; Aşci, Halil, Department of Pharmacology, Süleyman Demirel University, Faculty of Medicine, Isparta, Turkey; Ulusoy, Arzu, Department of Bioengineering, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Milletsever, Adem, Department of Pathology, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey; Özmen, Özlem Z., Department of Pathology, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey; Çömlekçi, Selçuk, Department of Electronics and Communication Engineering, SDU University, Kaskelen, Almaty, Kazakhstan","Patients undergoing thoracic surgery or intensive care are frequently exposed to high-voltage electric fields generated by medical devices; however, the duration-dependent effects of such exposure on lung tissue remain unclear. This study aimed to investigate the histopathological and immunoinflammatory effects of exposure to a uniform 10 kV/m electric field for varying durations using a rat model. Thirty-five adult female Wistar rats were randomly assigned to five groups (n = 7): control, and 1, 5, 15, and 30 min exposure groups. Lung tissues were analyzed histologically with hematoxylin and eosin staining, and the immunohistochemical expression of IL-1β, RANKL, and TNF-α was semi-quantitatively assessed. Histopathological examination revealed a duration-dependent increase in lung injury, with the 30 min group showing marked epithelial loss, mononuclear infiltration, edema, and vascular congestion (p < 0.001). The expression of IL-1β, RANKL, and TNF-α remained minimal in the 1–15 min groups but was significantly elevated in the 30 min group (p < 0.001). These findings suggest that prolonged exposure to high-voltage electric fields induces substantial pulmonary inflammation and tissue damage, indicating the presence of a threshold beyond which inflammatory pathways are abruptly activated. These results highlight the importance of establishing safety guidelines for electric field exposure in clinical settings. © 2025 by the authors.","acute-phase reactants; electric field; lung injury; pulmonary inflammation; thoracic surgery","interleukin 1beta; osteoclast differentiation factor; tumor necrosis factor; acute lung injury; adult; analysis of variance; animal experiment; animal model; animal tissue; Article; bronchiole epithelium; controlled study; electric field; epithelium cell; female; histopathology; human; human tissue; hyperemia; immune response; immunoreactivity; inflammation; inflammatory cell; intracellular signaling; long term exposure; lung alveolus epithelium; lung alveolus epithelium cell; lung injury; male; mononuclear cell; nonhuman; perivascular space; pneumonia; RANKL signaling; rat; statistical analysis; thorax surgery; tissue injury; upregulation; adverse event; animal; electricity; etiology; immunology; lung; metabolism; pathology; time factor; Wistar rat; Animals; Electricity; Female; Inflammation; Interleukin-1beta; Lung; Lung Injury; RANK Ligand; Rats; Rats, Wistar; Time Factors; Tumor Necrosis Factor-alpha","Süleyman Demirel Üniversitesi, SDU, (TSG-2024-9515); Süleyman Demirel Üniversitesi, SDU","The study was funded by the Suleyman Demirel University [grant number: TSG-2024-9515].","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105020267116"
"Baizhanov, B.; Tazabekova, N.; Zambarnaya, T.","Baizhanov, Bektur Sembiuly (8251062900); Tazabekova, Nargiza (60161770700); Zambarnaya, Tatyana Sergeevna (57202626847)","8251062900; 60161770700; 57202626847","Orthogonality of 1-Types over Sets, Neighborhoods of Sets in 1-Types in Weakly Ordered Minimal Theories","2025","Mathematics","13","20","3271","","","0","10.3390/math13203271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020180464&doi=10.3390%2Fmath13203271&partnerID=40&md5=fc10cdd4196d85bade3f1a58afca8ad2","Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; School of Applied Mathematics, Kazakh-British Technical University, Almaty, Kazakhstan; Department of Mathematics, SDU University, Kaskelen, Almaty, Kazakhstan","Baizhanov, Bektur Sembiuly, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan, School of Applied Mathematics, Kazakh-British Technical University, Almaty, Kazakhstan; Tazabekova, Nargiza, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan, School of Applied Mathematics, Kazakh-British Technical University, Almaty, Kazakhstan, Department of Mathematics, SDU University, Kaskelen, Almaty, Kazakhstan; Zambarnaya, Tatyana Sergeevna, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","This paper examines the relationship between weak orthogonality and almost orthogonality for complete non-algebraic 1-types in weakly ordered minimal theories. A central element of our approach is the concept of neighborhoods, which encapsulate local properties of type realizations. This work contributes to a deeper understanding of the geometry of types in weakly ordered minimal theories and provides tools that may be applied in related model-theoretic contexts. © 2025 by the authors.","almost orthogonality; convex set; irrational type; quasirational type; quasisolitary type; weak orthogonality; weakly o-minimal theories","","Ministry of Education and Science of the Republic of Kazakhstan, (AP19677434)","This research is funded by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP19677434).","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105020180464"
"Baizhanov, B.; Tazabekova, N.; Zambarnaya, T.","Baizhanov, Bektur Sembiuly (8251062900); Tazabekova, Nargiza (60161770700); Zambarnaya, Tatyana Sergeevna (57202626847)","8251062900; 60161770700; 57202626847","On One Laura Mayer’s Theorem","2025","Symmetry","17","10","1641","","","0","10.3390/sym17101641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020175331&doi=10.3390%2Fsym17101641&partnerID=40&md5=880e440042c16072e0e047377cda5a9d","Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; School of Applied Mathematics, Kazakh-British Technical University, Almaty, Kazakhstan; Department of Mathematics, SDU University, Kaskelen, Almaty, Kazakhstan","Baizhanov, Bektur Sembiuly, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan, School of Applied Mathematics, Kazakh-British Technical University, Almaty, Kazakhstan, Department of Mathematics, SDU University, Kaskelen, Almaty, Kazakhstan; Tazabekova, Nargiza, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan, School of Applied Mathematics, Kazakh-British Technical University, Almaty, Kazakhstan, Department of Mathematics, SDU University, Kaskelen, Almaty, Kazakhstan; Zambarnaya, Tatyana Sergeevna, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","The article’s primary focus is on the study of the number of countable non-isomorphic models of linearly ordered theories. The orthogonality of 1-types and their convex closures is employed to analyse a class of theories with a specific type of monotonic non-orthogonality, which includes weakly o-minimal theories. For such theories, a theorem analogous to L. Mayer’s result on the independence of any pairwise independent family of 1-types in o-minimal theories is proven. The article provides conditions for the infinity and maximality of the countable spectrum of weakly o-minimal theories. © 2025 by the authors.","almost orthogonality; convex closure; linear order; monotonicity; number of countable models; small theory; weak convex orthogonality; weak orthogonality; weakly o-minimal theory","","Ministry of Education and Science of the Republic of Kazakhstan, (AP19677434)","This research is funded by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP19677434).","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105020175331"
"Akhmetzhanova, S.; Serek, A.; Kashayev, R.; Kozhamuratova, A.","Akhmetzhanova, Shynar (57219663223); Serek, Azamat (57207763595); Kashayev, Ruslan (60130714900); Kozhamuratova, Aizhan (60130462000)","57219663223; 57207763595; 60130714900; 60130462000","Few-shot brain tumor classification: meta- vs metric-learning comparison","2025","Bulletin of Electrical Engineering and Informatics","14","5","","3913","3922","0","10.11591/eei.v14i5.10706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018054480&doi=10.11591%2Feei.v14i5.10706&partnerID=40&md5=5f6a9769663ee4719f6262936bb508a6","Department of Computer Engineering, Astana IT University, Astana, Kazakhstan; School of Information Technology and Engineering, Kazakh-British Technical University, Almaty, Kazakhstan; Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; School of Digital Technologies, Narxoz University, Almaty, Kazakhstan","Akhmetzhanova, Shynar, Department of Computer Engineering, Astana IT University, Astana, Kazakhstan; Serek, Azamat, School of Information Technology and Engineering, Kazakh-British Technical University, Almaty, Kazakhstan, School of Digital Technologies, Narxoz University, Almaty, Kazakhstan; Kashayev, Ruslan, School of Information Technology and Engineering, Kazakh-British Technical University, Almaty, Kazakhstan; Kozhamuratova, Aizhan, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan","Medical imaging requires accurate brain tumor recognition because precise classification is essential for early diagnosis and effective treatment planning. A major challenge in medical applications is that deep learning models typically require extensive amounts of labeled data to perform well. To address this, this research evaluates three few-shot learning (FSL) approaches-prototypical networks, Siamese networks, and model-agnostic meta-learning (MAML)-for brain tumor classification using the Figshare brain tumor dataset. The results show that prototypical networks consistently outperform the other approaches, achieving 89.07% accuracy (95% CI: 88.12–89.96%), 88.73% precision, and 88.67% recall, making them the optimal solution for this task. Siamese networks achieve 83.73% accuracy (95% CI: 82.64–84.76%), while MAML demonstrates significantly reduced performance, with 43.70% accuracy (95% CI: 42.10–45.22%). This study demonstrates that FSL can be applied effectively for medical image classification, with prototypical networks achieving the best performance in brain tumor detection. The inclusion of confidence intervals further validates the robustness and reliability of the results. Future research will focus on improving feature representation and exploring hybrid approaches to better handle rare tumor classes, thereby enhancing the clinical applicability of FSL models. © 2025 Institute of Advanced Engineering and Science. All rights reserved.","Brain tumor analysis; Brain tumors; Deep learning in medicine; Few-shot learning; Medical imaging","","","","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018054480"
"Shoiynbek, A.; Kuanyshbay, D.; Menezes, P.; Assunção, G.; Meraliyev, B.; Mukhametzhanov, A.; Shoiynbek, T.; Sklyar, S.","Shoiynbek, Aisultan A. (57215213422); Kuanyshbay, Darkhan N. (57215602501); Menezes, Paulo J. (56592011600); Assunção, Gustavo (57210644576); Meraliyev, Bakhtiyor (57238603500); Mukhametzhanov, Assylbek (60199535400); Shoiynbek, T. A. (59969074500); Sklyar, Sergey (58524521400)","57215213422; 57215602501; 56592011600; 57210644576; 57238603500; 60199535400; 59969074500; 58524521400","The Automated Method of Collecting and Labeling Data for Speech Emotion Recognition based on Face Emotion Recognition","2025","Applied Mathematics and Information Sciences","19","5","","1067","1077","0","10.18576/amis/190508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022158868&doi=10.18576%2Famis%2F190508&partnerID=40&md5=64393bdf0ec5e8003bc535e1873a38fe","School of Digital Technologies, Narxoz University, Almaty, Kazakhstan; Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; University of Coimbra, Institute of Systems and Robotics, Coimbra, Portugal; Department of General and Applied Psychology, Al Farabi Kazakh National University, Almaty, Kazakhstan","Shoiynbek, Aisultan A., School of Digital Technologies, Narxoz University, Almaty, Kazakhstan; Kuanyshbay, Darkhan N., Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Menezes, Paulo J., University of Coimbra, Institute of Systems and Robotics, Coimbra, Portugal; Assunção, Gustavo, University of Coimbra, Institute of Systems and Robotics, Coimbra, Portugal; Meraliyev, Bakhtiyor, Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Mukhametzhanov, Assylbek, Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Shoiynbek, T. A., School of Digital Technologies, Narxoz University, Almaty, Kazakhstan; Sklyar, Sergey, Department of General and Applied Psychology, Al Farabi Kazakh National University, Almaty, Kazakhstan","Speech Emotion Recognition (SER) is vital for enabling natural and effective human-machine interactions, yet its advancement is constrained by the scarcity of richly annotated emotional speech corpora, the laborious nature of manual labeling, and the difficulty of eliciting genuine expressions. We propose an automated data-collection and labeling pipeline that synchronizes video-based facial emotion recognition (FER) with audio capture to annotate speech recordings according to speakers’ natural facial expressions. Applying this method, we processed 1 243 YouTube videos (1 058 hours of raw footage) and extracted 218 359 candidate utterances, which-after FER-guided filtering-yielded a high-quality corpus of 45 459 recordings (33 h 15 min of audio) across seven basic emotions in Kazakh (15 076 utterances) and Russian (30 383 utterances). We trained a deep neural network on the combined dataset and achieved 86.84% overall test accuracy, with per-language accuracies of 89.00% (Kazakh) and 85.20% (Russian) for sevenway emotion classification; a support vector machine reached 82.47% under the same conditions. By reducing manual annotation effort by over 80% while maintaining consistent labels, our approach delivers a scalable, language-agnostic solution for generating authentic emotional speech datasets, substantially cutting down on human labor and paving the way for more robust, real-world SER systems. © 2025 NSP Natural Sciences Publishing Cor.","Face emotion recognition; labeling; machine learning; speech emotion recognition","","Ministry of Education and Science of the Republic of Kazakhstan, (AP22786670)","This research was funded by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan under Grant No. AP22786670.","","","","","","Article","Final","","Scopus","2-s2.0-105022158868"
