"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Erbek-Kiran, E.; Ateş, A.; Dolmaz, M.N.","Erbek-Kiran, Ezgi (55980508100); Ateş, Abdullah (36927494500); Dolmaz, Mustafa Nuri (8561903600)","55980508100; 36927494500; 8561903600","Exploring the crustal structure of the Aegean Sea from satellite bouguer gravity, magnetic data, and seismological data","2025","Geo-Marine Letters","45","1","12","","","4","10.1007/s00367-025-00800-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218413015&doi=10.1007%2Fs00367-025-00800-0&partnerID=40&md5=1c955f0c32c4a438e442f1db19c3de62","Department of Engineering, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Geophysical Engineering, Ankara Üniversitesi, Ankara, Turkey","Erbek-Kiran, Ezgi, Department of Engineering, SDU University, Kaskelen, Almaty, Kazakhstan; Ateş, Abdullah, Department of Geophysical Engineering, Ankara Üniversitesi, Ankara, Turkey; Dolmaz, Mustafa Nuri, Department of Engineering, SDU University, Kaskelen, Almaty, Kazakhstan","Modeling the subsurface structures and their geometries is a crucial task for understanding the tectonic background of the region. Within this scope, the current paper aims to define the subsurface structures of the Aegean Sea through a two-dimensional (2D) modeling approach. In this 2D modeling, satellite Bouguer gravity anomaly and magnetic data, which represent the novelty of the article, have been used for the first time in this region. Removing the regional field, the construction of the 2D model has been created along a defined profile. The modeled gravity data show that the body, which is evaluated as a magmatic intrusion, located in the southern Aegean volcanic arc region extends to the Moho depth. The presence of a high-density mass sliding into the Hellenic trench as a result of the subduction movement has also been revealed in this study. In addition, the average depths of the shallow causative bodies obtained from the power spectrum analysis of the magnetic data have positively correlated with the depths determined in the 2D model. Intense magnetic anomalies observed around the Biga Peninsula and Aegean volcanic islands were modeled with the control of the Edremit-1 borehole and it is evaluated that these anomalies in the region could be associated with the presence of volcanic rocks observed in the Edremit-1 well. On the other hand, the correlation between gravity data and seismological data has indicated the regions in which the mantle has been uplifted in the current study. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.","","Geomorphology; Gravitational prospecting; Hydrogeology; Jurassic; Magnetic prospecting; Miocene; Seismology; Structural geology; Tectonics; Volcanic rocks; 'current; Aegean sea; Bouguer gravity; Crustal structure; Gravity data; Magnetic data; Modeling approach; Seismological data; Subsurface structures; Two dimensional model; Volcanoes; Bouguer anomaly; crustal structure; magnetic anomaly; Moho; satellite data; seismic data; seismology; volcanic rock; Aegean Sea; Balikesir [Turkey]; Biga Peninsula; Mediterranean Sea; Turkey","","","","","","","","Article","Final","","Scopus","2-s2.0-85218413015"
"Syzdykbayev, M.; Karimi, H.A.","Syzdykbayev, Meirman (59035732600); Karimi, Hassan Ali (35575866100)","59035732600; 35575866100","Exploring Topological Information Beyond Persistent Homology to Detect Geospatial Objects","2024","Remote Sensing","16","21","3989","","","0","10.3390/rs16213989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208410129&doi=10.3390%2Frs16213989&partnerID=40&md5=d427b6ee184a27ee3a877c3233588da5","Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; School of Computing and Information, Pittsburgh, PA, United States","Syzdykbayev, Meirman, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Karimi, Hassan Ali, School of Computing and Information, Pittsburgh, PA, United States","Accurate detection of geospatial objects, particularly landslides, is a critical challenge in geospatial data analysis due to the complex nature of the data and the significant consequences of these events. This paper introduces an innovative topological knowledge-based (Topological KB) method that leverages the integration of topological, geometrical, and contextual information to enhance the precision of landslide detection. Topology, a fundamental branch of mathematics, explores the properties of space that are preserved under continuous transformations and focuses on the qualitative aspects of space, studying features like connectivity and exitance of loops/holes. We employed persistent homology (PH) to derive candidate polygons and applied three distinct strategies for landslide detection: without any filters, with geometrical and contextual filters, and a combination of topological with geometrical and contextual filters. Our method was rigorously tested across five different study areas. The experimental results revealed that geometrical and contextual filters significantly improved detection accuracy, with the highest F1 scores achieved when employing these filters on candidate polygons derived from PH. Contrary to our initial hypothesis, the addition of topological information to the detection process did not yield a notable increase in accuracy, suggesting that the initial topological features extracted through PH suffices for accurate landslide characterization. This study advances the field of geospatial object detection by demonstrating the effectiveness of combining geometrical and contextual information and provides a robust framework for accurately mapping landslide susceptibility. © 2024 by the authors.","landslide; LiDAR; object detection; persistent homology; TDA","Geometry; Miocene; Topology; Contextual information; Critical challenges; Geo-spatial objects; Geometrical informations; Landslide detection; LiDAR; Objects detection; Persistent homology; TDA; Topological information; Landslides","","","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85208410129"
"Dukeyev, B.","Dukeyev, Berikbol (57415193300)","57415193300","Representation of the Kazakhstani famine (1931–33) in secondary school history textbooks, 1992–2021","2023","Central Asian Survey","42","2","","383","401","8","10.1080/02634937.2022.2152778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146673662&doi=10.1080%2F02634937.2022.2152778&partnerID=40&md5=386049c493e98858e36fcb03d5b17903","Department of Social Sciences, SDU University, Kaskelen, Almaty, Kazakhstan","Dukeyev, Berikbol, Department of Social Sciences, SDU University, Kaskelen, Almaty, Kazakhstan","This paper studies the role of textbook authors when portraying the Kazakhstani famine of 1931–33 in textbooks printed between 1992 and 2021 for the secondary school subject ‘The History of Kazakhstan’. Drawing on a multilayered and inter-discursive analysis of seven of these textbooks, and after 10 interviews with curriculum developers and textbook authors, this paper argues that authorship agencies have reflected a level of ambivalence: on the cause(s) of the famine; on their evaluation of it as a tragedy or as a genocide; on the identification of the perpetrators and victims; and the people’s revolt against the collectivization. The textbook authors have echoed the narratives from the cautious approach to the famine’s commemoration portrayed in state-led nation-building, to those in Kazakh nationalist narratives and the academic history. The results of this paper oppose the general assumption that textbook narratives are merely constructed from ‘above’ in a non-democratic state such as Kazakhstan. © 2023 Global South Ltd.","famine; Kazakhstan; politics of memory; social memory; textbooks","historical perspective; memory; secondary education; social history; student; Kazakhstan","","I thank Ronald Foster and the Leibniz Institute for Educational Media for suggestions and comments, shaped this article. I am equally thankful to the two anonymous reviewers for their critical recommendations.","","","","","","Article","Final","","Scopus","2-s2.0-85146673662"
"Kadyrov, S.; Orynbassar, A.; Saydaliev, H.B.","Kadyrov, Shirali (36844229300); Orynbassar, Alibek (57220763198); Saydaliev, Hayot Berk (57221252482)","36844229300; 57220763198; 57221252482","Purely Data-driven Exploration of COVID-19 Pandemic After Three Months of the Outbreak","2021","Journal of Mathematical and Fundamental Sciences","53","3","","358","368","0","10.5614/j.math.fund.sci.2021.53.3.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123283208&doi=10.5614%2Fj.math.fund.sci.2021.53.3.2&partnerID=40&md5=3ce0af3b041e465a59c37cb56fd7bc8c","Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Faculty of Education and Humanities, SDU University, Kaskelen, Almaty, Kazakhstan; School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Mathematical Methods in Economics, Tashkent State University of Economics, Tashkent, Uzbekistan","Kadyrov, Shirali, Faculty of Engineering and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Orynbassar, Alibek, Faculty of Education and Humanities, SDU University, Kaskelen, Almaty, Kazakhstan; Saydaliev, Hayot Berk, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan, Department of Mathematical Methods in Economics, Tashkent State University of Economics, Tashkent, Uzbekistan","Many research studies have been carried out to understand the epidemiological characteristics of the COVID-19 pandemic in its early phase. The current study is yet another contribution to better understand the disease properties by parameter estimation based on mathematical SIR epidemic modeling. The authors used Johns Hopkins University’s dataset to estimate the basic reproduction number of COVID-19 for five representative countries (Japan, Germany, Italy, France, and the Netherlands) that were selected using cluster analysis. As byproducts, the authors estimated the transmission, recovery, and death rates for each selected country and carried out statistical tests to see if there were any significant differences. © 2021.","Basic reproduction; Clustering; COVID-19; Doubling period; Dynamical systems; Parameter estimation; SIR model","","","","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85123283208"
"Aksarayli, M.F.","Aksarayli, Muhammed Fatih (57224357500)","57224357500","Transformation of higher education in electronic environment: The sample of digital higher education project","2021","Digitalization and Future of Digital Society","","","","357","365","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107446693&partnerID=40&md5=076bb1b9debb36df89d619eb51dd8c4e","Department of Management, SDU University, Kaskelen, Almaty, Kazakhstan","Aksarayli, Muhammed Fatih, Department of Management, SDU University, Kaskelen, Almaty, Kazakhstan","[No abstract available]","","","","","","","","","","Book chapter","Final","","Scopus","2-s2.0-85107446693"
"Oğuz, H.; Özkul, M.","Oğuz, Hatice (57224367819); Özkul, Metin (57192956251)","57224367819; 57192956251","A new form of violence in the reality of risk society: Digital violence","2021","Digitalization and Future of Digital Society","","","","209","250","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107408506&partnerID=40&md5=fc1fdc92b1c61dfd9919e722fcb5170f","Department of Therapy and Rehabilitation, Isparta University of Applied Sciences, Isparta, Isparta, Turkey; Department of Sociology, SDU University, Kaskelen, Almaty, Kazakhstan","Oğuz, Hatice, Department of Therapy and Rehabilitation, Isparta University of Applied Sciences, Isparta, Isparta, Turkey; Özkul, Metin, Department of Sociology, SDU University, Kaskelen, Almaty, Kazakhstan","[No abstract available]","","","","","","","","","","Book chapter","Final","","Scopus","2-s2.0-85107408506"
"Bal, M.A.","Bal, Mehmet Akif (57224358582)","57224358582","Marketing of sports and communication in digital area: E-sports and the case of turkey e-sports football league","2021","Digitalization and Future of Digital Society","","","","347","356","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107396873&partnerID=40&md5=ec3e26d761abdb9bee7092feb21ed0f5","SDU University, Kaskelen, Almaty, Kazakhstan","Bal, Mehmet Akif, SDU University, Kaskelen, Almaty, Kazakhstan","[No abstract available]","","","","","","","","","","Book chapter","Final","","Scopus","2-s2.0-85107396873"
"Japashov, N.M.; Mansurova, A.A.; Balta, N.","Japashov, Nursultan M. (59549248700); Mansurova, Aizhan A. (57196373400); Balta, Nuri (56577982000)","59549248700; 57196373400; 56577982000","CREATING A MICROGREEN GROWING ENVIRONMENT AT THE SPACE STATION; СТВОРЕННЯ СЕРЕДОВИЩА ДЛЯ ВИРОЩУВАННЯ МИКРОЗЕЛЕНІ НА КОСМІЧНІЙ СТАНЦІЇ","2021","Space Science and Technology","7","4","","65","73","1","10.15407/knit2021.04.065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128115528&doi=10.15407%2Fknit2021.04.065&partnerID=40&md5=fea961e19f2a049f149e3b8051f9c769","Al Farabi Kazakh National University, Almaty, Kazakhstan; Nazarbayev Intellectual School of Chemistry and Biology, Almaty, Kazakhstan; Nazarbayev Intellectual School of Physics and Mathematics, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan","Japashov, Nursultan M., Al Farabi Kazakh National University, Almaty, Kazakhstan, Nazarbayev Intellectual School of Chemistry and Biology, Almaty, Kazakhstan; Mansurova, Aizhan A., Al Farabi Kazakh National University, Almaty, Kazakhstan, Nazarbayev Intellectual School of Physics and Mathematics, Almaty, Kazakhstan; Balta, Nuri, SDU University, Kaskelen, Almaty, Kazakhstan","Plants are essential types of human nutrition, both in terrestrial and in space station conditions. The cultivation of plant foods in space conditions at the near-Earth stations has become possible due to the modern achievements in agricultural technologies. The proposed article aims to study the creation of optimal conditions for growing plants used in human nutrition in the space stations. In the work, a selection of plants and soil types for space station conditions was made. For this purpose, a three-stage experiment was carried out. In the first experiment, an experimental method was exploited to select the types of plants that are most suitable for growing under extreme conditions. The composition and structure of the soil were determined experimentally. It is shown that hydrogel can be used to accumulate water in space station conditions and can be a suitable medium for growing plants. Studies have shown that just hydrogel (without any nutrient mixtures) can promote plant growth. At the second stage of research, plants were successfully grown on the mixture of the hydrogel and the soil. In the third experiment, the authors added biostimulants and organic products to the hydrogel, and as a result, there was an increase in the speed and stability of plant growth. The experimental prototype of the container for growing plants in space conditions, which was tested in the above experiments, created by the authors, is shown. © 2021 Publishing House Akademperiodyka. All Rights Reserved.","hydrogel; microgreen; microgreen planting; planting in space station; planting microgreen in hydrogel","","","","","","","","","Article","Final","","Scopus","2-s2.0-85128115528"
"Zhussipbek, G.; Nagayeva, Z.","Zhussipbek, Galym (57195469148); Nagayeva, Zhanar (57211118533)","57195469148; 57211118533","Human rights of daughters-in-law (kelins) in Central Asia: harmful traditional practices and structural oppression","2021","Central Asian Survey","40","2","","222","241","14","10.1080/02634937.2020.1850423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097128913&doi=10.1080%2F02634937.2020.1850423&partnerID=40&md5=d2a7cbc62cf197631fe1cbc8955e524b","Department of Social Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Independent Scholar, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan","Zhussipbek, Galym, Department of Social Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Nagayeva, Zhanar, Independent Scholar, Almaty, Kazakhstan, SDU University, Kaskelen, Almaty, Kazakhstan","The familial position and social status of daughters-in-law (kelins) in ‘traditional’ Central Asian families can be characterized as low, subservient and marginalized. By adopting normative human rights discourse, this paper argues that it is an example of the relativist challenge of cultural authenticity towards the universality of human rights, specifically women’s human rights. By using participant observation which can also be qualified as experiential research, serial in-depth and informal interviews, and an analysis of posts published in social media, the forces driving the persistence of a relativist approach to kelins’ human rights such as retraditionalization, the revival of conservative Islam, an unawareness of the human rights and the patterns of authority-subordination are explored. Through a conceptual framework combining Iris Young’s concept of the ‘five faces of oppression’ and the notion of ‘harmful traditional practices’, elaborated by international human rights documents, the study conceptualizes the family position and social status of the kelins as one of structural oppression or systemic injustice, created and legitimized by informal, harmful traditional norms and practices. © 2020 Global South Ltd.","conservative Islam; harmful traditional practices; human rights; kelin; oppression; retraditionalization; women’s rights","feminization; human rights; Islamism; social status; traditional knowledge; womens status; Central Asia","","This research was supported by the grant AP05132998 provided by the Committee of Science, Ministry of Education and Science, Republic of Kazakhstan. We would like to thank the anonymous reviewers for their insightful comments and careful reviews of our paper.","","","","","","Article","Final","","Scopus","2-s2.0-85097128913"
"Yilmaz, C.; Kirpinar, T.","Yilmaz, Cevdet (57224737580); Kirpinar, Tuğba (57224731053)","57224737580; 57224731053","From the Netherlands to Karaman: Remigration, definite return and social adaptation","2020","River Flowing North: Migration Generating Geographies and International Irregular Migrations","","","","307","318","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108219392&partnerID=40&md5=255a6789bf3978615d011be24296c2dc","Department of Sociology, SDU University, Kaskelen, Almaty, Kazakhstan","Yilmaz, Cevdet, Department of Sociology, SDU University, Kaskelen, Almaty, Kazakhstan; Kirpinar, Tuğba, Department of Sociology, SDU University, Kaskelen, Almaty, Kazakhstan","[No abstract available]","","","","","","","","","","Book chapter","Final","","Scopus","2-s2.0-85108219392"
