"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Yedgenov, B.M.; Alibekova, G.Z.; Mynbayeva, E.N.; Kozhakhmetova, A.K.","Yedgenov, Bauyrzhan (57195780247); Alibekova, G. Zh (57190415127); Mynbayeva, Elmira N. (60196924800); Kozhakhmetova, Assel K. (57209825232)","57195780247; 57190415127; 60196924800; 57209825232","Determinants of effective commercialization of scientific projects: Empirical evidence from Kazakhstan","2025","Journal of Open Innovation: Technology, Market, and Complexity","11","4","100683","","","0","10.1016/j.joitmc.2025.100683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021979460&doi=10.1016%2Fj.joitmc.2025.100683&partnerID=40&md5=40253ac5adc6d90ffd78aa14b15b2347","SDU University, Kaskelen, Almaty, Kazakhstan; Ministry of Education and Science of the Republic of Kazakhstan, Almaty, Kazakhstan; M. Narikbayev KAZGUU University, Astana, Kazakhstan; Kazakh-British Technical University, Almaty, Kazakhstan","Yedgenov, Bauyrzhan, SDU University, Kaskelen, Almaty, Kazakhstan; Alibekova, G. Zh, Ministry of Education and Science of the Republic of Kazakhstan, Almaty, Kazakhstan; Mynbayeva, Elmira N., M. Narikbayev KAZGUU University, Astana, Kazakhstan; Kozhakhmetova, Assel K., Kazakh-British Technical University, Almaty, Kazakhstan","This paper investigates the determinants of successful commercialization of scientific projects funded by the government in Kazakhstan from 2016 to 2018. Using the data on 140 projects that include metrics such as sales, number of patents, jobs created as outputs, and factors like grant amount, co-financing, and capital expenditure as inputs, the study provides empirical insights into the key drivers of commercialization success. The research applies OLS and DEA econometric approaches to analyze the relationships between these variables, offering valuable implications for policy-makers, research institutions, and industry stakeholders aiming to enhance the commercialization potential of scientific endeavors. The findings underscore the importance of financial inputs, particularly co-financing from the private sector, capital expenditure, institutional support, and market alignment, in translating research into viable market products. © 2025 The Authors","Effective commercialization; Kazakhstan; Open Innovation; Scientific projects; Technology commercialization; Technology Transfer","","Ministry of Education and Science of the Republic of Kazakhstan","Funding text 1: The manuscript \u201C Determinants of Effective Commercialization of Scientific Projects: Empirical Evidence from Kazakhstan\u201D was prepared the within the framework of scientific program (IRN BR2188207 - \""Improvement of mechanisms of effective regulation of processes of commercialisation of applied R&D projects\""), funded by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan in 2023\u20132025 years.; Funding text 2: The study was carried out within the framework of scientific program (IRN BR2188207), funded by the Science Committee of the Ministry of Education and Science of the Republic of Kazakhstan, \""Improvement of mechanisms of effective regulation of processes of commercialisation of applied R&D projects\"".","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105021979460"
"Pelzman, J.; Issabayev, M.; Moldashev, K.","Pelzman, Joseph (14631012200); Issabayev, Murat (57202900184); Moldashev, Kairat (57195416591)","14631012200; 57202900184; 57195416591","SANCTION BUSTING, REGIONAL INTEGRATION AND INSTITUTIONS","2025","Global Economy Journal","25","3-4","2550008","","","0","10.1142/S2194565925500083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011537682&doi=10.1142%2FS2194565925500083&partnerID=40&md5=7c223d5e7ac995cdae11b5f2065a0abf","Department of Economics, The George Washington University, Washington, D.C., United States; Department of Doctoral Studies, Narxoz University, Almaty, Kazakhstan; School of Business, SDU University, Kaskelen, Almaty, Kazakhstan","Pelzman, Joseph, Department of Economics, The George Washington University, Washington, D.C., United States; Issabayev, Murat, Department of Doctoral Studies, Narxoz University, Almaty, Kazakhstan; Moldashev, Kairat, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan","This study examines the impact of sanctions and institutional quality on Russia’s import values across two periods (2022 and 2023), highlighting key dynamics in sanctioned versus non-sanctioned exports across regional integrations. Findings reveal that, overall, Russian import values did not change significantly across the observed periods. However, import values for non-sanctioned exports were estimated to be higher than those for sanctioned exports. Additionally, exporting countries with stronger institutional frameworks appear less likely to reduce the import value for Russia in the short term. Despite economic differences in regional integration (EU, EAEU, BRICS and ROW) and trade policies, contributions to import values for Russia are not significantly impacted by regional affiliations. Notably, an increase in the number of sanctioned exports is associated with a substantial decline in import values by approximately 83%. While sanctions are effective in reducing targeted trade, institutional quality and regional dynamics shape nuanced outcomes in sanctions enforcement and trade adjustments. © 2025 World Scientific Publishing Company.","Institutional quality; regional integrations; Russia; sanction busting","","Ministry of Education and Science of the Republic of Kazakhstan, (AP14870610); Ministry of Education and Science of the Republic of Kazakhstan","We are very thankful to Behzod Alimov, Abdulaziz Djalilov and other participants for providing valuable feedback at the 3rd Tashkent Business and Economics Conference held on November 21, 2024, in Tashkent, Uzbekistan. We are also grateful to Iqboljon Kasimov \u2014 organizer of the seminar at the Graduate School of Business and Entrepreneurship under the Cabinet of Ministers of the Republic of Uzbekistan in Tashkent \u2014 for allowing us to share the current draft. We received valuable policy-oriented feedback from seminar participants. The remaining errors are ours. This project is funded by the Grant Funding provided by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant Number IRN: AP14870610).","","","","","","Article","Final","","Scopus","2-s2.0-105011537682"
"Yedgenov, B.M.; Tursyn, А.; Zhorayev, О.","Yedgenov, Bauyrzhan (57195780247); Tursyn, А. (60354695100); Zhorayev, О. (60354260400)","57195780247; 60354695100; 60354260400","Determinants of Public Procurement Activity in Kazakhstan: Evidence from Regional Panel; Детерминанты активности государственных закупок в Казахстане: анализ на основе региональных панельных данных","2025","Economy: strategy and practice","20","4","","63","76","0","10.51176/1997-9967-2025-4-63-76","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028670947&doi=10.51176%2F1997-9967-2025-4-63-76&partnerID=40&md5=4e6dd44c53ad4a607915ea071a7f477d","SDU University, Kaskelen, Almaty, Kazakhstan; Narxoz University, Almaty, Kazakhstan; George Mason University, Fairfax, VA, United States","Yedgenov, Bauyrzhan, SDU University, Kaskelen, Almaty, Kazakhstan; Tursyn, А., Narxoz University, Almaty, Kazakhstan; Zhorayev, О., George Mason University, Fairfax, VA, United States","Public procurement is an important tool for providing public services and regional development, but its effectiveness varies significantly between regions, especially in Kazakhstan. The purpose of this study is to assess the impact of fiscal dependence and socio-economic conditions on the level of disruption of public procurement and intensity of procurement activities in Kazakhstan using a panel econometric approach with two-way fixed effects models, which allows taking into account unchangeable regional characteristics and general economic shocks. The empirical base of the study consists of a unique panel dataset on 458 districts and 17 cities of Kazakhstan covering 2016-2024 and includes 432,438 contracts worth 2.65 trillion tenge in total. The results show that, on average, 3.14% of contracts are declared invalid, corresponding to 0.87% of total purchase price.. The most stable factor disrupting purchases is inflation. An increase in the CPI by 1 point leads to an increase in failed contracts by 0.3-0.4 percentage points (p<0.01). Dependence on inter-budget transfers has a weak and unstable impact. Purchasing activity is significantly related to the labour market situation. Rising unemployment reduces both the number and value of contracts. Higher wages contribute to increasing their number. Inflation is a key constraint on public procurement effectiveness. In the future, research can be expanded by using more detailed regional socio-economic data and by disaggregating procurement by type of procedure and sector. © 2025, Institute of Economics Committee of Science MSHE RK. All rights reserved.","Budget; Finance; Financial Potential; Fiscal Strategy; Government Spending; Public Procurement; Regional Development; Regional Economy","","","FINANCIAL SUPPORT PThis research was funded by the Committee of Science of the ?inistry of Science and ?igher Education of the Republic of Kazakhstan under Grant No \u5800 A? \uEE03\uEF03\uF003\uF403\uF403\uF303\uF003\uF203?","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028670947"
"Tursynova, B.; Kopbayeva, A.; Malikova, A.; Akhmetov, Z.","Tursynova, Balzhan (59535415400); Kopbayeva, Aizhan (59534965400); Malikova, Aigul (59535415500); Akhmetov, Zhassulan M. (57573212400)","59535415400; 59534965400; 59535415500; 57573212400","Contractual relationships of social entrepreneurs in the healthcare sector in Kazakhstan","2024","Social and Legal Studios","7","4","","69","78","2","10.32518/sals4.2024.69","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216477861&doi=10.32518%2Fsals4.2024.69&partnerID=40&md5=0279f5b06546c2198c61e6415dbe95b7","SDU University, Kaskelen, Almaty, Kazakhstan","Tursynova, Balzhan, SDU University, Kaskelen, Almaty, Kazakhstan; Kopbayeva, Aizhan, SDU University, Kaskelen, Almaty, Kazakhstan; Malikova, Aigul, SDU University, Kaskelen, Almaty, Kazakhstan; Akhmetov, Zhassulan M., SDU University, Kaskelen, Almaty, Kazakhstan","The purpose of this study was to study of features and evaluate the contractual relations of social entrepreneurship entities working in the field of healthcare in Kazakhstan to cover their contribution to improving the quality of medical services, as well as their accessibility to the population. The study employed the following methods of cognition: system approach, comparative legal method, and hermeneutic method. The study considered the legislation of the Republic of Kazakhstan in the field of social entrepreneurship and healthcare, the basis of their contractual cooperation. It was found that regulations prescribe certain measures of state support for individual entrepreneurs and organisations engaged in social entrepreneurship. These include tax incentives to encourage employment initiatives, priority rights to take part in public procurement, and the possibility of receiving grants and microcredits. However, it should be emphasised that these measures are fragmented and informal, which in general does not contribute to the structural and systemic development of social entrepreneurship. Regarding contractual relations, it was found that the basis of social entrepreneurs’ involvement in state social contracts is through contracts for the provision of services or goods, as well as the conclusion of outsourcing contracts. The study analysed cases of social entrepreneurship in Kazakhstan, their specific features and problems. The study concluded that social entrepreneurship in Kazakhstan is a modern economic trend, despite the presence of relevant legislation, it faces a range of problems that hinder its development. The practical significance of this study is to provide an in-depth understanding of the structure and effectiveness of social entrepreneursʼ interaction in this field and highlight concrete practical aspects that contribute to the development and optimisation of social entrepreneurship in healthcare in the Kazakh economic environment. © The Author(s).","business support; collective projects; crowdfunding; non-profit organisations; public problems","","","","","","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85216477861"
"Issabayev, M.; Moldashev, K.","Issabayev, Murat (57202900184); Moldashev, Kairat (57195416591)","57202900184; 57195416591","Sanction Busting Within and Outside Regional Integration","2024","Journal of Economic Integration","39","3","","671","687","2","10.11130/jei.2024035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204076773&doi=10.11130%2Fjei.2024035&partnerID=40&md5=c90aa4ad1819d38022c2f13e00bb06ae","School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Narxoz University, Almaty, Kazakhstan","Issabayev, Murat, Narxoz University, Almaty, Kazakhstan; Moldashev, Kairat, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan","The trade balance of Russia with its top 20 trade partners has increased over the last few years till 2022 with few exceptions such as the United States and the United Kingdom. Even the Russian trade deficit with Germany till 2021 has turned to trade surplus in 2022. However, as a result of the strict sanctions imposed on certain trade products by European Union (EU) nations and the US, the total import values of Russia declined from $266 billion in 2021 to $199 billion in 2022. To explain if third countries, including Eurasian Economic Union (EAEU) nations, aid Russia by means of sanctions-busting, we offer several empirical tests. In this paper, we use annual cross-sectional data for 22,648 products exported to Russia along with tariff rates imposed on them in 2022. We first notice that even though the number of sanctioned exports is three times lower than that of non-sanctioned exports, the total import value from sanctioned exports is predicted to be larger than that from non-sanctioned exports on average by 0.36 percentage point. Second, the Russian import values from both EU and Rest of the World (ROW) exports are significantly greater than those from EAEU nations. Last but not least, EAEU nations, which are Russia's partners within the union, and EU nations, are more susceptible to activities such as sanction-busting compared to other third countries. © 2024-Center for Economic Integration, Sejong University, All Rights Reserved.","Eurasian Economic Union; European Union; sanction-busting; trade sanctions","","Ministry of Education and Science of the Republic of Kazakhstan; (AP14870610)","Funding text 1: We are very thankful to Maia Linask, Narendra Regmi, Sara Maioli, Jesse Mora, Deeparghya Mukherjee and other participants for providing valuable feedback at the 34th International Trade and Finance Association Conference held in May 2024 in Rabat, Morocco. The remaining errors are ours. This project is funded by the Grant Funding provided by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan. Grant Number IRN: AP14870610.; Funding text 2: Associate Professor, Business School, SDU University, 040900, 1/1 Abylai Khan St. Kaskelen, Kazakhstan. E-mail: kairat.moldashev@sdu.edu.kz Co-Author: Murat Issabayev Associate Professor, PhD Department, Narxoz University, 050035, 55 Zhandossov St., Almaty, Kazakhstan. E-mail: murat.isabayev@narxoz.kz Acknowledgments: We are very thankful to Maia Linask, Narendra Regmi, Sara Maioli, Jesse Mora, Deeparghya Mukherjee and other participants for providing valuable feedback at the 34th International Trade and Finance Association Conference held in May 2024 in Rabat, Morocco. The remaining errors are ours. This project is funded by the Grant Funding provided by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazak hstan. Grant Number IRN: AP14870610.","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85204076773"
"Bergougui, B.; Doğan, B.; Ghosh, S.; Hicham, H.","Bergougui, Brahim (57191420317); Doğan, Buhari (57191664500); Ghosh, Sudeshna (57209784820); Hicham, Ayad (57217181020)","57191420317; 57191664500; 57209784820; 57217181020","Impact of environmental technology, economic complexity, and geopolitical risk on carbon emission inequality in developed and developing countries: evidence from a PVAR-GMM approach","2024","Environment, Development and Sustainability","","","","","","17","10.1007/s10668-024-05715-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209562933&doi=10.1007%2Fs10668-024-05715-x&partnerID=40&md5=bf102f1625cd63add8d549bc71f596b2","International Institute of Social Studies, The Hague, Zuid-Holland, Netherlands; National Higher School of Statistics and Applied Economics (ENSSEA), Kolea, Algeria; Department of Economics, SDU University, Kaskelen, Almaty, Kazakhstan; INTI International University, Nilai, Negeri Sembilan, Malaysia; MEU Research Unit, Middle East University Jordan, Amman, Amman, Jordan; Department of Economics, Scottish Church College Kolkata, Kolkata, WB, India; Department of Economics, University Centre of Maghnia, Tlemcen, Tlemcen, Algeria","Bergougui, Brahim, International Institute of Social Studies, The Hague, Zuid-Holland, Netherlands, National Higher School of Statistics and Applied Economics (ENSSEA), Kolea, Algeria; Doğan, Buhari, Department of Economics, SDU University, Kaskelen, Almaty, Kazakhstan, INTI International University, Nilai, Negeri Sembilan, Malaysia, MEU Research Unit, Middle East University Jordan, Amman, Amman, Jordan; Ghosh, Sudeshna, Department of Economics, Scottish Church College Kolkata, Kolkata, WB, India; Hicham, Ayad, Department of Economics, University Centre of Maghnia, Tlemcen, Tlemcen, Algeria","Climate change and disparities among economic groups represent significant challenges confronting the global community today. Inadequate action against climate change is likely to worsen economic inequalities, while these inequalities can hinder the effective execution of climate change initiatives. Against this backdrop this study examines the impact of ENT on carbon emissions inequality (CEI) to develop equitable and inclusive mitigation strategies. Using a unique GMM-PVAR approach, we analyze structural dynamics in a panel dataset of 41 developing and developed countries for 1990–2020. This method is efficient and robust. It is capable of taking into account the structural dynamism in the data. Further this method can tackle the endogeneity in the concerned data sets. The empirical models account for geopolitical risk, economic complexity, total natural resource rents, and GDP growth as potential influencers of CEI. Our findings reveal that: (1) ENT negatively impacts CEI, underscoring its importance in reduction efforts; (2) economic complexity exhibits a negative relationship with CEI, implying it contributes to its reduction; (3) geopolitical risk, natural resources, and GDP growth all positively impact CEI, hindering its reduction; (4) impulse response analysis shows that shocks to ENT induce an initial inverse response in CEI, followed by oscillating inverse responses over ten periods; and (5) causality test corroborates these results and indicate no reverse causality. The robustness test based on impulse response function and heterogeneous causality test confirm the earlier findings. The empirical outcomes reveal a negative effect of ENT on CEI, showing that any upsurge of one unit in ENT leads to a decline in the CEI by 1.09 units in the long run. Remarkably, a unit increase in geopolitical risk will automatically contribute to an escalation of CEI by 5.977 units. The results from Impulse Response Analysis documents how CEI responds to the shocks in the independent variables over ten periods. The analysis demonstrates that any shock in the ENT will stimulate an inverse response to CEI in the first period and then oscillate across inverse response over a period of 10 periods Grounded on these outcomes, the study concludes with potential policy implications to promote equitable and sustainable CEI reduction strategies. The government of the concerned countries should embrace environmental policies to enhance the application of ENT to stimulate the harmonious effects. The government can implement carbon pricing system that will create economic incentive for individuals and companies to reduce emissions and invest in clean technologies. Graphical abstract: (Figure presented.) © The Author(s) 2024.","CO2 emissions inequality; Developed and developing economies; Environmental technology; GMM-PVAR","","","","","","","","","Article","aip","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85209562933"
"Alibekova, G.Z.; Yedgenov, B.M.; Kozhakhmetova, A.K.; Mynbaeva, E.N.","Alibekova, G. Zh (57190415127); Yedgenov, Bauyrzhan (57195780247); Kozhakhmetova, Assel K. (57209825232); Mynbaeva, Elmira N. (60138489500)","57190415127; 57195780247; 57209825232; 60138489500","Evaluation of Technology Commercialization Factors in Kazakhstan","2024","Economy: strategy and practice","19","2","","41","57","2","10.51176/1997-9967-2024-2-41-57","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018612321&doi=10.51176%2F1997-9967-2024-2-41-57&partnerID=40&md5=5f21c8b099606ae1c96ad0ccb0da689c","Institute of Economics CS MSHE RK, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan; Kazakh-British Technical University, Almaty, Kazakhstan; M. Narikbayev KAZGUU University, Astana, Kazakhstan","Alibekova, G. Zh, Institute of Economics CS MSHE RK, Almaty, Kazakhstan; Yedgenov, Bauyrzhan, SDU University, Kaskelen, Almaty, Kazakhstan; Kozhakhmetova, Assel K., Kazakh-British Technical University, Almaty, Kazakhstan; Mynbaeva, Elmira N., M. Narikbayev KAZGUU University, Astana, Kazakhstan","The commercialization of scientific research and development (R&D) results is a key driver for enhancing corporate revenues and profits, positively impacting economic development, and increasing global and national competitiveness. However, commercialization is a complex process influenced by various factors. This study aims to assess the mutual influence of commercialization factors of R&D in Kazakhstan and provide recommendations to strengthen positive influences and mitigate negative ones. Utilizing official data from the Bureau of National Statistics, including metrics such as enterprise innovation activity, the share of innovative products in GDP, patent numbers, R&D expenditures, industry innovation costs, and R&D personnel, a regression analysis was conducted using the time series method and the vector autoregression (VAR) approach. The analysis revealed that increased innovative activity of enterprises positively impacts the export of innovative products after three years but negatively affects the share of innovative products in GDP. Additionally, higher industry innovation costs and an increase in patent numbers lead to a rise in innovative product exports after three years. However, an increase in innovative product exports subsequently reduces patent numbers after three years. These results indicate that domestic enterprises focus primarily on expanding export-oriented products for short-term profit gains, reducing costs, and achieving immediate results, often at the expense of substantial innovation activities. The findings suggest a need for strategies to balance short-term profit motives with sustainable innovation investments to enhance long-term economic growth and competitiveness. © 2024, Institute of Economics Committee of Science MSHE RK. All rights reserved.","Commercialization; Commercialization Factors; Economic benefits; Innovative Activity; Science; Time Series Method; Vector Autoregression Approach","","(BR21882077)","Funding text 1: FINANCIAL SU??ORT \u5700Th e article was prepared as part of scientific research under the program funded by the Committee of Science ?S?E RK S?mproving the mechanisms for effective regulation of the processes of commercial? ization of applied R \u9800\u1800 projects \u5F00 \u7E00BR \uEE03\uED03\uF403\uF403\uEE03\uEC03\uF303\uF303\u7F03?; Funding text 2: The article was prepared as part of scientific research under the program funded by the Committee of Science MSHE RK \u201CImproving the mechanisms for effective regulation of the processes of commercialization of applied R&D projects\u201D (BR21882077).","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105018612321"
"Saydaliev, H.B.; Lee, L.","Saydaliev, Hayot Berk (57221252482); Lee, Chin (16067888200)","57221252482; 16067888200","Role of green financing and financial inclusion to develop the cleaner environment for macroeconomic stability: Inter-temporal analysis of ASEAN economies","2023","Economic Change and Restructuring","56","6","","3839","3859","20","10.1007/s10644-022-09419-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133181986&doi=10.1007%2Fs10644-022-09419-y&partnerID=40&md5=972a7e05821ed675e78245ee23de7879","School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Mathematical Methods in Economics, Tashkent State University of Economics, Tashkent, Uzbekistan; School of Business and Economics, Universiti Putra Malaysia, Serdang, Selangor, Malaysia","Saydaliev, Hayot Berk, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan, Department of Mathematical Methods in Economics, Tashkent State University of Economics, Tashkent, Uzbekistan; Lee, Chin, School of Business and Economics, Universiti Putra Malaysia, Serdang, Selangor, Malaysia","The research objective is to assess the role of green financing and financial inclusion in developing a cleaner environment for macroeconomic stability in ASEAN economies. The study attempted to estimate the climate mitigation factor associated with a more sanitary environment between 2012 and 2019. Panel data analysis using the augmented Dicky–Fuller test, Phillip–Perron, and fully modified standard most minor square test provides long-term findings in panel data analysis. In addition, the vector error correction technique was also applied to infer study results. The findings indicate that climate change mitigation indicators have a significant impact on the gross domestic product of ASEAN economies. According to the data, a one percent rise in the green finance index results in a 0.321 percent increase in the amount of pollution removed from the environment. According to the research findings, environmental pollution must be decreased, and energy sources must be switched to more creative and ecologically friendly alternatives. Using study findings, several policy recommendations are offered and suggested for stakeholders for implementation. As per our best understanding, effective implementation of study findings and suggestions maximum chances are developing a cleaner environment and boosting macroeconomic stability in the ASEAN context. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Cleaner environment; Financial inclusion; Green financing; Gross domestic product; Macroeconomic stability","ASEAN; finance; Gross Domestic Product; macroeconomics; social inclusion; temporal analysis; Southeast Asia","","","","","","","","Article","Final","All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85133181986"
"Golunov, S.","Golunov, Sergei V. (55874382000)","55874382000","Russian border security: trends of post-soviet transformation; La seguridad fronteriza rusa: tendencias en la transformación postsoviética","2023","Estudios Fronterizos","24","","e124","","","0","10.21670/ref.2313124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175081445&doi=10.21670%2Fref.2313124&partnerID=40&md5=c69141a403d3da1efbe46ee25c710f4c","Faculty of Law and Social Sciences, SDU University, Kaskelen, Almaty, Kazakhstan","Golunov, Sergei V., Faculty of Law and Social Sciences, SDU University, Kaskelen, Almaty, Kazakhstan","After the disintegration of the ussr, Russia confronted the task of reforming its border security policy, which had previously emphasized stringent control over both inbound and outbound cross-border movements. This challenge was further compounded by the unprecedented management of 13 thousand kilometers of newly established borders with other states of the former Soviet Union. This article examines the evolving trends in Russian border security policy, encompassing the management of these new borders, endeavors to integrate Russia’s border security spaces with those of its post-Soviet allies, and the impacts of geopolitical expansionism. The transformation of Russian border security policy has yielded mixed results. On one hand, Russia has effectively embraced modern approaches to cross-border flow management. On the other hand, the scope of issues covered by Russia’s border security agenda remains extensive, encompassing geopolitical fears and other issued that cannot be managed effectively by the agencies tasked with routine border management. © 2023, Universidad Autonoma de Baja California. All rights reserved.","border security; geopolitics; Russia; seclusion; securitization","","Ministry of Education and Science of the Republic of Kazakhstan","This article is a part of the BR10965282 project “Kazakhstan-Russian border: historical context and new geopolitical reality”, funded by the targeted funding program of the Ministry of Science and Higher Education of the Republic of Kazakhstan.","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85175081445"
"Chang, L.; Shi, F.; Taghizadeh-Hesary, F.; Saydaliev, H.B.","Chang, Lei (57325381100); Shi, Fanglan (57993288600); Taghizadeh-Hesary, Farhad (56291956400); Saydaliev, Hayot Berk (57221252482)","57325381100; 57993288600; 56291956400; 57221252482","Information and communication technologies development and the resource curse","2023","Resources Policy","80","","103123","","","57","10.1016/j.resourpol.2022.103123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143307844&doi=10.1016%2Fj.resourpol.2022.103123&partnerID=40&md5=aedf513b1edf03bb0a113eaaed034e36","School of Economics, Peking University, Beijing, China; Narxoz University, Almaty, Kazakhstan; School of Global Studies, Tokai University, Tokyo, Japan; Tokai University, Tokyo, Japan; School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Mathematical Methods in Economics, Tashkent State University of Economics, Tashkent, Uzbekistan","Chang, Lei, School of Economics, Peking University, Beijing, China; Shi, Fanglan, Narxoz University, Almaty, Kazakhstan; Taghizadeh-Hesary, Farhad, School of Global Studies, Tokai University, Tokyo, Japan, Tokai University, Tokyo, Japan; Saydaliev, Hayot Berk, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan, Department of Mathematical Methods in Economics, Tashkent State University of Economics, Tashkent, Uzbekistan","Information and communication technologies (ICTs) influence economic growth, yet, innovation in natural resource development and energy demands is seldom considered. Will the development of ICTs aid in alleviating this natural resource curse? An analysis of time-series data from 30 Chinese provinces confirms this effect, and this finding is especially robust. In particular, some Chinese regions are affected by an abundance of natural resources. Computing, telephone, cellular connections, and incentives for technological collaboration result in greater energy demands and, thus, greater CO<inf>2</inf> emissions. In short, ICT growth somewhat alleviates the resource curse. This effect is heterogeneous in terms of the level of regional financial development and the presence of a resource curse in the location. Policymakers seeking to develop long-term, nationwide e-sustainable strategies must then lower natural resource prices and pollution abatement costs through technologically driven natural resource expansion. © 2022 Elsevier Ltd","Chinese provinces; Information and communication technologies; Resource curse; Time-series data","Costs; Economics; Natural resources; Time series; Chinese province; Economic growths; Energy demands; Information and Communication Technologies; Information and communication technology development; Natural resource curse; Resource curse; Resource development; Technology aids; Time-series data; Time series analysis; data set; economic growth; information and communication technology; natural resource; resource development; technological development; time series analysis; China","Japan Society for the Promotion of Science, KAKEN, (22H03816); Japan Society for the Promotion of Science, KAKEN; Ministry of Education, Culture, Sports, Science and Technology, MEXT, (22K13432); Ministry of Education, Culture, Sports, Science and Technology, MEXT","Farhad Taghizadeh-Hesary acknowledges the financial support of the Grant-in-Aid for the Excellent Young Researcher of the Ministry of Education, Culture, Sports, Science and Technology of Japan (MEXT) ; Grant-in-Aid for Young Scientists (No. 22K13432) of the Japan Society for the Promotion of Science (JSPS) and the Grant-in-Aid for Scientific Research (B) (No. 22H03816 ) of the JSPS .","","","","","","Article","Final","","Scopus","2-s2.0-85143307844"
