"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Kolesnikov, P.S.; Sartayev, B.K.","Kolesnikov, Pavel Sergeyevich (23060559100); Sartayev, B. K. (57210558545)","23060559100; 57210558545","On the Dong Property for a binary quadratic operad","2026","Journal of Algebra","691","","","428","452","0","10.1016/j.jalgebra.2025.11.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024341555&doi=10.1016%2Fj.jalgebra.2025.11.025&partnerID=40&md5=66345bb87d7cf7f100fc2af42823428c","Sobolev Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Novosibirsk Oblast, Russian Federation; Narxoz University, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan","Kolesnikov, Pavel Sergeyevich, Sobolev Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Novosibirsk Oblast, Russian Federation; Sartayev, B. K., Narxoz University, Almaty, Kazakhstan, SDU University, Kaskelen, Almaty, Kazakhstan","The classical Dong Lemma for distributions over a Lie algebra lies in the foundation of the theory of vertex and conformal algebras. In this paper, we find necessary and sufficient condition for a variety of nonassociative algebras with binary operations to satisfy the analogue of the Dong Lemma. In particular, it turns out that for alternative, Novikov, and Novikov–Poisson algebras the Dong Lemma holds true. The criterion is stated in the language of operads, so we determine for which binary quadratic operads the Dong Lemma holds in the corresponding class of algebras. As an application, we show the black Manin product of such Dong operads is also a Dong operad. © 2025","Dong lemma; Identity; Manin product; Operad","","Ministry of Education and Science of the Republic of Kazakhstan, (AP23484665); (FWNF 2026-0017)","We are grateful to Vladimir Dotsenko for the idea to study the analogues of the Dong Lemma at the level of operads. This research was funded by the Science Committee of the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP23484665 ). The first author was supported by the Program of Fundamental Research RAS (project FWNF 2026-0017 ).","","","","","","Article","Final","","Scopus","2-s2.0-105024341555"
"Ruzhansky, M.; Shaimerdenov, Y.; Yessirkegenov, N.","Ruzhansky, Michael V. (6603327173); Shaimerdenov, Yerkin (58958992800); Yessirkegenov, Nurgissa Amankeldiuli (56368611100)","6603327173; 58958992800; 56368611100","Cylindrical extensions of critical Sobolev type inequalities and identities","2026","Journal of Mathematical Analysis and Applications","554","1","129899","","","0","10.1016/j.jmaa.2025.129899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011266466&doi=10.1016%2Fj.jmaa.2025.129899&partnerID=40&md5=3a51c33530dad2808126779c14a8cd2c","Logic and Discrete Mathematics, Universiteit Gent, Ghent, VOV, Belgium; School of Mathematical Sciences, Queen Mary University of London, London, United Kingdom; SDU University, Kaskelen, Almaty, Kazakhstan; Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; KIMEP University, Almaty, Almaty, Kazakhstan","Ruzhansky, Michael V., Logic and Discrete Mathematics, Universiteit Gent, Ghent, VOV, Belgium, School of Mathematical Sciences, Queen Mary University of London, London, United Kingdom; Shaimerdenov, Yerkin, Logic and Discrete Mathematics, Universiteit Gent, Ghent, VOV, Belgium, SDU University, Kaskelen, Almaty, Kazakhstan, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; Yessirkegenov, Nurgissa Amankeldiuli, KIMEP University, Almaty, Almaty, Kazakhstan","In this paper, we investigate cylindrical extensions of critical Sobolev type (improved Hardy) inequalities and identities in the style of Badiale-Tarantello [6], which in a special case give a critical Hardy inequality and its stability results. We also obtain higher-order identities, which interestingly include well-known numbers like double factorial, Oblong numbers, and Stirling numbers of the second kind. All functional identities are obtained in Lp for p∈(1,∞) without the real-valued function assumption, which gives a simple and direct understanding of the corresponding inequalities as well as the nonexistence of nontrivial extremizers. As applications, we obtain Caffarelli-Kohn-Nirenberg type inequalities with logarithmic weights, which in a particular case give the critical case of the Heisenberg-Pauli-Weyl type uncertainty principle. We also discuss these results in the setting of Folland and Stein's homogeneous Lie groups. A special focus is devoted to stratified Lie groups, where Sobolev type inequalities become intricately intertwined with the properties of sub-Laplacians and more general subelliptic partial differential equations. The obtained results are already new even in the classical Euclidean setting with respect to the range of parameters and the arbitrariness of the choice of any homogeneous quasi-norm. Most inequalities are obtained with sharp constants. © 2025 Elsevier Inc.","Critical Caffarelli-Kohn-Nirenberg inequality; Critical Sobolev type inequality; Heisenberg group; Homogeneous Lie group; Stratified Lie group","","Fonds Wetenschappelijk Onderzoek, FWO; Ministry of Education and Science of the Republic of Kazakhstan, (AP23490970); Ministry of Education and Science of the Republic of Kazakhstan; Bijzonder Onderzoeksfonds UGent, BOF, (01M01021); Bijzonder Onderzoeksfonds UGent, BOF; Engineering and Physical Sciences Research Council, EPSRC, (EP/V005529/1, G022821N); Engineering and Physical Sciences Research Council, EPSRC","This research is funded by the Committee of Science of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP23490970), by the FWO Odysseus 1 grant G.0H94.18N: Analysis and Partial Differential Equations, and by the Methusalem programme of the Ghent University Special Research Fund (BOF) (Grant number 01M01021). MR is also supported by EPSRC grant EP/V005529/1 and FWO grant G022821N.","","","","","","Article","Final","","Scopus","2-s2.0-105011266466"
"Kadyrov, S.; Kazin, A.; Duisen, S.","Kadyrov, Shirali (36844229300); Kazin, Aiken (59305206400); Duisen, S. (60354923400)","36844229300; 59305206400; 60354923400","A note on semi-regular continued fractions with bounded partial quotients","2026","Arabian Journal of Mathematics","","","","","","0","10.1007/s40065-025-00611-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028726417&doi=10.1007%2Fs40065-025-00611-2&partnerID=40&md5=75cdda19d64a95ad07ff207bd841c2aa","Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan; Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan","Kadyrov, Shirali, Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan; Kazin, Aiken, Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Duisen, S., Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan","This paper explores Diophantine approximation and its connection to continued fractions. A number is called “badly approximable” if its regular continued fraction expansion has bounded partial quotients. These numbers have interesting geometric properties, such as full Hausdorff dimension but zero Lebesgue measure. We extend this idea to semi-regular continued fractions, a variation that uses a sequence of signs to modify the representation. We define σ-badly approximable numbers as those with bounded partial quotients in a semi-regular continued fractions for a fixed sequence of signs σ. This leads us to investigate the fractal properties of such numbers. © The Author(s), under exclusive licence to King Fahd University of Petroleum and Minerals 2026.","","","Ministry of Education and Science of the Republic of Kazakhstan, (AP19676669); Ministry of Education and Science of the Republic of Kazakhstan","The authors would like to thank the anonymous reviewer for pointing out [], which led to an improved version of Theorem . The authors acknowledge the support of a grant from the Ministry of Science and Higher Education of the Republic of Kazakhstan within the framework of the project AP19676669.","","","","","","Article","aip","","Scopus","2-s2.0-105028726417"
"Bekbolat, B.; Karimov, E.; Tokmagambetov, N.","Bekbolat, Bayan (57209835933); Karimov, E. T. (23397493000); Tokmagambetov, Niyaz Esenzholovich (55618129900)","57209835933; 23397493000; 55618129900","Inverse Source Problem for Dunkl Heat Equation With bi-ordinal Hilfer Fractional Derivative","2026","Complex Analysis and Operator Theory","20","1","17","","","0","10.1007/s11785-025-01866-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023532105&doi=10.1007%2Fs11785-025-01866-5&partnerID=40&md5=3bde0382122182fd32c05560050f5e0b","SDU University, Kaskelen, Almaty, Kazakhstan; Universiteit Gent, Ghent, VOV, Belgium; Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","Bekbolat, Bayan, SDU University, Kaskelen, Almaty, Kazakhstan, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; Karimov, E. T., Universiteit Gent, Ghent, VOV, Belgium; Tokmagambetov, Niyaz Esenzholovich, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan","In this paper, we are interested in considering the inverse source problem for the one-dimensional heat equation with the bi-ordinal Hilfer fractional derivative with respect to the time variable and the Dunkl operator with respect to the space variable. The direct problem is also considered to help solve the inverse source problem. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.","Bi-ordinal Hilfer fractional derivative; Dunk operator; Heat equation; Inverse source problem","","Ministry of Education and Science of the Republic of Kazakhstan, (AP23487589)","This research was funded by the Committee of Science of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP23487589).","","","","","","Article","Final","","Scopus","2-s2.0-105023532105"
"Kunanbayev, A.; Sartayev, B.K.","Kunanbayev, Abay (59416642400); Sartayev, B. K. (57210558545)","59416642400; 57210558545","Binary perm algebras and alternative algebras","2026","Communications in Algebra","54","1","","299","307","1","10.1080/00927872.2025.2524070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010225118&doi=10.1080%2F00927872.2025.2524070&partnerID=40&md5=18ccd6bb0062d408fcdf0781dbb8bf66","Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; Narxoz University, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan","Kunanbayev, Abay, Institute of Mathematics and Mathematical Modeling, Almaty, Kazakhstan; Sartayev, B. K., Narxoz University, Almaty, Kazakhstan, SDU University, Kaskelen, Almaty, Kazakhstan","In this paper, we describe the defining identities of the variety of binary perm algebras, which is a subvariety of the variety of alternative algebras. In addition, we construct a basis of the free binary perm algebra and find a complete list of identities which satisfy binary perm algebra under the commutator. © 2025 Taylor & Francis Group, LLC.","Alternative algebra; binary algebra; perm algebra; polynomial identities","","Ministry of Education and Science of the Republic of Kazakhstan, (AP23484665)","This research is funded by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP23484665).","","","","","","Article","Final","","Scopus","2-s2.0-105010225118"
"Meraliyev, M.; Turan, C.; Kadyrov, S.; Sadyk, U.","Meraliyev, Meraryslan A. (57207760258); Turan, Cemil (56246423000); Kadyrov, Shirali (36844229300); Sadyk, Ualikhan (57460291500)","57207760258; 56246423000; 36844229300; 57460291500","A Comprehensive Survey of Methods and Challenges of Vehicle Routing Problem with Uncertainties","2025","Mathematics","13","23","3782","","","1","10.3390/math13233782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024580606&doi=10.3390%2Fmath13233782&partnerID=40&md5=9903d32458b520858867b20365eca882","Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan","Meraliyev, Meraryslan A., Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Turan, Cemil, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Kadyrov, Shirali, Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan; Sadyk, Ualikhan, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan","This paper presents a comprehensive survey of the methodologies and challenges associated with the Vehicle Routing Problem (VRP), focusing on the uncertainties that impact routing decisions in real-world logistics and transportation scenarios. Traditional VRP models often assume static and deterministic conditions, which do not fully capture the complexities of actual logistics operations. This paper categorizes uncertainties into demand variability, travel-time fluctuations, and other dynamic factors, such as service-time variability and vehicle breakdowns. It reviews various approaches to addressing these uncertainties, including dynamic VRP models and the application of reinforcement learning in stochastic environments. The research methodology includes a systematic review of articles published in recent years, emphasizing influential research at the intersection of VRP and uncertainty. The findings highlight the importance of bridging theoretical advances with practical applications to enhance the robustness and adaptability of VRP solutions. The paper concludes by advocating for continued research in this area to improve operational efficiency and service reliability in logistics. © 2025 by the authors.","demand variability; dynamic routing; reinforcement learning; transportation management; travel time variability; uncertainty; vehicle routing problem","","Ministry of Education and Science of the Republic of Kazakhstan, (AP19675614)","This research is funded by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan, Grant No. AP19675614.","","","","","","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105024580606"
"Adilkhan, S.; Alimanova, M.; Shi, L.; Soltiyeva, A.","Adilkhan, Shyngys (57293085300); Alimanova, Madina U. (55938129800); Shi, Lei (55615905500); Soltiyeva, Aiganym (57994434700)","57293085300; 55938129800; 55615905500; 57994434700","Advances in artificial intelligence-driven 3D model generation: a review of GAN and VAE methodologies","2025","Bulletin of Electrical Engineering and Informatics","14","6","","4988","5011","0","10.11591/eei.v14i6.10755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024093702&doi=10.11591%2Feei.v14i6.10755&partnerID=40&md5=974ef10c9d5c3f38002804871b89bd4d","Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Agriculture and Engineering, Newcastle University, Newcastle, Tyne and Wear, United Kingdom","Adilkhan, Shyngys, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Alimanova, Madina U., Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Shi, Lei, Agriculture and Engineering, Newcastle University, Newcastle, Tyne and Wear, United Kingdom; Soltiyeva, Aiganym, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan","This paper offers a comprehensive review of current developments in artificial intelligence (AI)-based 3D model creation, with an emphasis on techniques utilizing variational autoencoders (VAEs) and generative adversarial networks (GANs). 3DGAN, paired 3D model generation with GAN, conditional GAN, FaceVAE, voxel-based 3D object reconstruction, and 3D-VAE-SDFRaGAN are the six main techniques that are studied in this work. Each method is discussed, highlighting its architectural framework, data representation, and specific approach to generating 3D models. First, the paper introduces basic terms and classical 3D modeling techniques and provides a comparative analysis of them based on their workflow, purpose and field of application. In subsequent chapters, methods for generating 3D models based on the use of GANs and VAEs are reviewed, describing its methodology, experimentation technique, results, and comparison with other methods. The review outlines the strengths and limitations of each approach and their applications in object reconstruction, shape generation, and maintaining model consistency. It concludes by emphasizing how AI-driven methods can advance 3D modeling, underscoring the need for further research to enhance quality, control, and training reliability. The findings show AI’s significant impact on automating complex modeling tasks and enabling new creative opportunities in 3D content development. © 2025 Institute of Advanced Engineering and Science. All rights reserved.","3D model generation; 3D reconstruction; Artificial intelligence; Generative adversarial networks; Latent space; Polygon mesh; Variational autoencoder","","","","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024093702"
"Kadyrov, S.; Azamov, A.; Abdumajitov, Y.; Turan, C.","Kadyrov, Shirali (36844229300); Azamov, Azamkhon (60030541700); Abdumajitov, Yelbek (60030541800); Turan, Cemil (56246423000)","36844229300; 60030541700; 60030541800; 56246423000","Deep reinforcement learning for dynamic vehicle routing with demand and traffic uncertainty","2025","Operations Research Perspectives","15","","100351","","","5","10.1016/j.orp.2025.100351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012601830&doi=10.1016%2Fj.orp.2025.100351&partnerID=40&md5=3327d8cbda87a02254a2e1c9cee136c5","New Uzbekistan University, Tashkent, Uzbekistan; SDU University, Kaskelen, Almaty, Kazakhstan","Kadyrov, Shirali, New Uzbekistan University, Tashkent, Uzbekistan; Azamov, Azamkhon, New Uzbekistan University, Tashkent, Uzbekistan; Abdumajitov, Yelbek, New Uzbekistan University, Tashkent, Uzbekistan; Turan, Cemil, SDU University, Kaskelen, Almaty, Kazakhstan","The capacitated vehicle routing problem with dynamic demand and traffic conditions presents significant challenges in logistics and supply chain optimization. Traditional methods often fail to adapt to real-time uncertainties in customer demand and traffic patterns or scale to large problem instances. In this work, we propose a deep reinforcement learning framework to learn adaptive routing policies for dynamic capacitated vehicle routing problem environments with stochastic demand and traffic. Our approach integrates graph neural networks to encode spatial problem structure and proximal policy optimization to train robust policies under both demand and traffic uncertainty. Experiments on synthetic grid-based routing environments show that our method outperforms classical heuristics and greedy baselines in minimizing travel cost while maintaining feasibility. The learned policies generalize to unseen demand and traffic scenarios and scale to larger graphs than those seen during training. Our results highlight the potential of deep reinforcement learning for real-world dynamic routing problems where both demand and traffic evolve unpredictably. © 2025 The Authors","Combinatorial optimization; Deep reinforcement learning; Demand uncertainty; Graph neural networks; Markov Decision Process; Proximal policy optimization; Traffic uncertainty; Vehicle Routing Problem","","Ministry of Education and Science of the Republic of Kazakhstan, (IRN AP19675614); Ministry of Education and Science of the Republic of Kazakhstan","This research was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (No. IRN AP19675614)","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105012601830"
"Dauletiyarova, A.; Sartayev, B.K.","Dauletiyarova, A. B. (57224538877); Sartayev, B. K. (57210558545)","57224538877; 57210558545","Basis of the free noncommutative Novikov algebra","2025","Journal of Algebra and its Applications","24","12","2550292","","","0","10.1142/S0219498825502925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196546955&doi=10.1142%2FS0219498825502925&partnerID=40&md5=fdf0d33e8f8e05a5c4611c76f464856b","SDU University, Kaskelen, Almaty, Kazakhstan; Narxoz University, Almaty, Kazakhstan; United Arab Emirates University, Al Ain, Abu Dhabi, United Arab Emirates","Dauletiyarova, A. B., SDU University, Kaskelen, Almaty, Kazakhstan; Sartayev, B. K., Narxoz University, Almaty, Kazakhstan, United Arab Emirates University, Al Ain, Abu Dhabi, United Arab Emirates","As it is known, the defining identities of a free Novikov algebra can be obtained from a commutative algebra with a derivation. In this paper, we consider a class of algebras obtained from the class of associative algebras with a derivation that generalizes Novikov algebras. Such objects are called noncommutative Novikov algebras. We construct a monomial basis for a free noncommutative Novikov algebra. © 2025 World Scientific Publishing Company.","differential associative algebra; free algebra; Novikov algebra","","Ministry of Education and Science of the Republic of Kazakhstan, (AP23489146); Ministry of Education and Science of the Republic of Kazakhstan; United Arab Emirates University, UAEU, (G00004614); United Arab Emirates University, UAEU","This research was funded by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant No. AP23489146). The second author supported UAEU Grant No. G00004614. The authors are grateful to Professor P. S. Kolesnikov and the anonymous referee for their comments and advice, thanks to which the paper has acquired such a full-fledged look.","","","","","","Article","Final","","Scopus","2-s2.0-85196546955"
"Daurenova, I.; Mustafayeva, A.; KHAZIMOV, K.; Garbati Pegna, F.; Khazimov, M.","Daurenova, Indira (59226221400); Mustafayeva, Ardak (57223220335); KHAZIMOV, Kanat M. (56469755000); Garbati Pegna, Francesco (27967961600); Khazimov, M. Zh (55212169200)","59226221400; 57223220335; 56469755000; 27967961600; 55212169200","Bee Bread Granule Drying in a Solar Dryer with Mobile Shelves","2025","Energies","18","20","5472","","","1","10.3390/en18205472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020239415&doi=10.3390%2Fen18205472&partnerID=40&md5=10e71c5f107e9b992986fa05e22fec27","Faculty of Engineering, Kazakh National Agrarian Research University, Almaty, Kazakhstan; Institute of Energy and Green Technologies, Almaty University of Power Engineering and Telecommunications, Almaty, Almaty Province, Kazakhstan; School of Applied Mathematics, Kazakh-British Technical University, Almaty, Kazakhstan; Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Agriculture, Università degli Studi di Firenze, Florence, FI, Italy","Daurenova, Indira, Faculty of Engineering, Kazakh National Agrarian Research University, Almaty, Kazakhstan, Institute of Energy and Green Technologies, Almaty University of Power Engineering and Telecommunications, Almaty, Almaty Province, Kazakhstan; Mustafayeva, Ardak, School of Applied Mathematics, Kazakh-British Technical University, Almaty, Kazakhstan; KHAZIMOV, Kanat M., Faculty of Engineering, Kazakh National Agrarian Research University, Almaty, Kazakhstan, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Garbati Pegna, Francesco, Department of Agriculture, Università degli Studi di Firenze, Florence, FI, Italy; Khazimov, M. Zh, Faculty of Engineering, Kazakh National Agrarian Research University, Almaty, Kazakhstan, Institute of Energy and Green Technologies, Almaty University of Power Engineering and Telecommunications, Almaty, Almaty Province, Kazakhstan","This paper presents the development and evaluation of an autonomous solar dryer designed to enhance the drying efficiency of bee bread granules. In contrast to natural open-air drying, the proposed system utilizes solar energy in an oscillating operational mode to achieve a controlled and accelerated drying process. The dryer comprises a solar collector integrated into the base of the drying chamber, which facilitates convective heating of the drying agent (air). The system is further equipped with a photovoltaic panel to generate electricity for powering and controlling the operation of air extraction fans. The methodology combines numerical modeling with experimental studies, structured by an experimental design framework. The modeling component simulates variations in temperature (288–315 K) and relative humidity within a layer of bee bread granules subjected to a convective air flow. The numerical simulation enabled the determination of the following: the time required to achieve a stationary operating mode in the dryer chamber (20 min); and the rate of change in moisture content within the granule layer during conventional drying (18 h) and solar drying treatment (6 h). The experimental investigations focused on determining the effects of granule mass, air flow rate, and drying time on the moisture content and temperature of the granular layer of Bee Bread. A statistically grounded analysis, based on the design of experiments (DoE), demonstrated a reduction in moisture content from an initial 16.2–18.26% to a final 11.1–12.1% under optimized conditions. Linear regression models were developed to describe the dependencies for both natural and forced convection drying. A comparative evaluation using enthalpy–humidity (I-d) diagrams revealed a notable improvement in the drying efficiency of the proposed method compared to natural drying. This enhanced performance is attributed to the system’s intermittent operational mode and its ability to actively remove moist air. The results confirm the potential of the developed system for sustainable and energy-efficient drying of bee bread granules in remote areas with limited access to a conventional power grid. © 2025 by the authors.","ANSYS Fluent; bee bread granule; bee products; Python; shelving; solar dryer; solar energy; temperature","Air; Computer aided software engineering; Computer software; Design of experiments; Drying; Energy efficiency; Granular materials; Granulation; Moisture; Moisture determination; Numerical models; Product design; Regression analysis; Solar heating; Solar power generation; %moisture; Air drying; ANSYS fluent; Bee bread granule; Bee product; Drying efficiency; Energy; Fluents; Operational modes; Shelving; Solar dryers; Solar energy","Ministry of Education and Science of the Republic of Kazakhstan, (AP19679448)","The Committee of Science of the Ministry of Science and Higher Education of the Republic of Kazakhstan (No. AP19679448) have funded this research.","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105020239415"
